"F = 1e-07; Nimp = 3; Range: [0.1, 20.0]"
x y
0.1 0.634508541875
0.299 0.0534245184296
0.498 0.00360391994127
0.697 0.000327004357203
0.896 4.12961003535e-05
1.095 6.95153723508e-06
1.294 1.4943488356e-06
1.493 3.9642513635e-07
1.692 1.26330684962e-07
1.891 4.73284792478e-08
2.09 2.04800266342e-08
2.289 1.00861693727e-08
2.488 5.58298197744e-09
2.687 3.43602314738e-09
2.886 2.32914332374e-09
3.085 1.72451638679e-09
3.284 1.38434421017e-09
3.483 1.19682502488e-09
3.682 1.107654624e-09
3.881 1.09139423725e-09
4.08 1.13914143792e-09
4.279 1.25367669409e-09
4.478 1.44859856657e-09
4.677 1.75044158698e-09
4.876 2.20383725537e-09
5.075 2.88105267903e-09
5.274 3.8981731854e-09
5.473 5.44245915869e-09
5.672 7.81835585883e-09
5.871 1.15253546886e-08
6.07 1.73903628542e-08
6.269 2.67937172651e-08
6.468 4.20567493057e-08
6.667 6.71080134411e-08
6.866 1.08630610964e-07
7.065 1.78038767023e-07
7.264 2.94880443275e-07
7.463 4.92682889533e-07
7.662 8.28961320432e-07
7.861 1.40227596036e-06
8.06 2.3811258174e-06
8.259 4.05253103811e-06
8.458 6.90299866125e-06
8.657 1.17520688974e-05
8.856 1.99699868264e-05
9.055 3.38277408151e-05
9.254 5.7051479735e-05
9.453 9.56858475483e-05
9.652 0.000159413122233
9.851 0.000263526680189
10.05 0.000431814575391
10.249 0.000700663118827
10.448 0.00112472499205
10.647 0.00178448586522
10.846 0.0027959718929
11.045 0.00432262441909
11.244 0.00658898420958
11.443 0.00989524592227
11.642 0.0146309694239
11.841 0.021285332743
12.04 0.0304504289283
12.239 0.0428134843528
12.438 0.0591338215285
12.637 0.0802012358911
12.836 0.106774454787
13.035 0.139501545
13.234 0.178828254322
13.433 0.224904644109
13.632 0.277503977869
13.831 0.335969499434
14.03 0.399203444336
14.229 0.465707895032
14.428 0.533679276509
14.627 0.601148707844
14.826 0.666151146209
15.025 0.726899603956
15.224 0.781938581332
15.423 0.830254070368
