"F = 1e-07; Nimp = 1; Range: [0.1, 40.0]"
x y
0.1 0.201133441474
0.499 0.000706808688217
0.898 9.46858694599e-06
1.297 2.70398201881e-07
1.696 1.29199175372e-08
2.095 9.24919673836e-10
2.494 9.26908476188e-11
2.893 1.24002807805e-11
3.292 2.1365942327e-12
3.691 4.60926978009e-13
4.09 1.22347498886e-13
4.489 3.86842793042e-14
4.888 1.44828268302e-14
5.287 6.14509528332e-15
5.686 4.42755641178e-15
6.085 1.99569093889e-15
6.484 1.82048386782e-15
6.883 9.2363183074e-16
7.282 2.43566018049e-16
7.681 1.27637700756e-15
8.08 -2.67255835518e-16
8.479 3.27331477895e-15
8.878 2.80645732348e-16
9.277 2.63780967555e-15
9.676 -3.35668992602e-16
10.075 1.69796902233e-15
10.474 1.3162214374e-15
10.873 3.63543830456e-15
11.272 4.98402317681e-15
11.671 1.54699386981e-15
12.07 9.60565177746e-15
12.469 2.55078618817e-14
12.868 3.63334037336e-14
13.267 7.95650979997e-14
13.666 1.48097300482e-13
14.065 3.02576214951e-13
14.464 6.18005484027e-13
14.863 1.29341275103e-12
15.262 2.75390707417e-12
15.661 5.95236587884e-12
16.06 1.30387026046e-11
16.459 2.88368887688e-11
16.858 6.43755187504e-11
17.257 1.44733744033e-10
17.656 3.26978665931e-10
18.055 7.41047737984e-10
18.454 1.68170810047e-09
18.853 3.81504638194e-09
19.252 8.63721482747e-09
19.651 1.94841324572e-08
20.05 4.37273507553e-08
20.449 9.74862404376e-08
20.848 2.15589190404e-07
21.247 4.72281008353e-07
21.646 1.02348253206e-06
22.045 2.19130706953e-06
22.444 4.62939927001e-06
22.843 9.63871886214e-06
23.242 1.97551642753e-05
23.641 3.98126024221e-05
24.04 7.88078576451e-05
24.439 0.000153065234539
