x y
0.0 0.0
0.5 0.40166455297
1.0 0.576129713027
1.5 0.895248496345
2.0 1.80257221877
2.5 4.53428867652
3.0 14.0966855736
3.5 54.0185896555
4.0 254.893053372
4.5 1480.36403961
5.0 10579.7894782
5.5 93031.3559806
6.0 1006452.94388
6.5 13395207.2584
7.0 219323043.934
7.5 4417628771.4
8.0 109460703562.0
8.5 3.33646830492e+12
9.0 1.2510434249e+14
9.5 5.77048146382e+15
10.0 3.27418628044e+17
10.5 2.28443044124e+19
11.0 1.92942174912e+21
11.5 1.69904214576e+23
12.0 1.04945372287e+25
12.5 3.11541533583e+26
13.0 3.70578327976e+27
13.5 1.66765651854e+28
14.0 2.82193156511e+28
14.5 1.81970645768e+28
15.0 4.56411218101e+27
15.5 4.55438849815e+26
16.0 1.84957091121e+25
16.5 3.12442211266e+23
17.0 2.24130184217e+21
17.5 6.96093987477e+18
18.0 9.53028924105e+15
18.5 5.84924084658e+12
19.0 1634617625.53
19.5 211030.007784
20.0 12.7564219995
20.5 0.000365601790545
21.0 5.0262852472e-09
21.5 3.35094628135e-14
22.0 1.09440348701e-19
22.5 1.76765413463e-25
23.0 1.4245665027e-31
23.5 5.77625876131e-38
24.0 1.18762255533e-44
24.5 1.24727355738e-51
25.0 6.737368117e-59
25.5 1.88400770859e-66
26.0 2.74407156966e-74
26.5 2.09379943181e-82
27.0 8.41529011828e-91
27.5 0.0
28.0 0.0
28.5 0.0
29.0 0.0
29.5 0.0
30.0 0.0
30.5 0.0
31.0 0.0
31.5 0.0
32.0 0.0
32.5 0.0
33.0 0.0
33.5 0.0
34.0 0.0
34.5 0.0
35.0 0.0
35.5 0.0
36.0 0.0
36.5 0.0
37.0 0.0
37.5 0.0
38.0 0.0
38.5 0.0
39.0 0.0
39.5 0.0
40.0 0.0
40.5 0.0
41.0 0.0
41.5 0.0
42.0 0.0
42.5 0.0
43.0 0.0
43.5 0.0
44.0 0.0
44.5 0.0
45.0 0.0
45.5 0.0
46.0 0.0
46.5 0.0
47.0 0.0
47.5 0.0
48.0 0.0
48.5 0.0
49.0 0.0
49.5 0.0
