"F = 1e-06; Nimp = 2; Range: [1.0, 40.0]"
x y
1.0 5.33069495371e-05
1.78 5.70529083561e-07
2.56 3.88431916948e-08
3.34 9.13590141987e-09
4.12 5.26757445741e-09
4.9 5.92794908446e-09
5.68 1.10309382934e-08
6.46 2.98724077528e-08
7.24 1.06285027012e-07
8.02 4.56728626796e-07
8.8 2.20850720507e-06
9.58 1.13126560081e-05
10.36 5.82669159162e-05
11.14 0.000288410602472
11.92 0.00131895111831
12.7 0.00538615005328
13.48 0.0190802541615
14.26 0.0572645868434
15.04 0.143080422637
15.82 0.294706192368
16.6 0.500554407264
17.38 0.710775293098
18.16 0.869113182899
18.94 0.955460023802
19.72 0.614754585832
20.5 0.999858485807
