F = 1e-07; Nimp = 10; Range: [1, 10] EN0 = None
i = 6.3999999999999915, C = 458.1715755486793, a = 15.135580192854837, m = 19.0, p = 9.0, r = 14.310835055998636, D = 0.2388986691711996, EN0 = None
i = 6.444999999999991, C = 461.39309443925595, a = 15.188698009363014, m = 19.0, p = 9.0, r = 14.411458114986125, D = 0.2594465481305919, EN0 = None
i = 6.489999999999991, C = 464.6146133298326, a = 15.241630708848588, m = 19.0, p = 9.0, r = 14.512081173973614, D = 0.28096902768228305, EN0 = None
i = 6.534999999999991, C = 467.83613222040924, a = 15.294380213339952, m = 19.0, p = 9.0, r = 14.612704232961105, D = 0.30341946957345933, EN0 = None
i = 6.579999999999991, C = 471.0576511109859, a = 15.346948411833962, m = 19.0, p = 9.0, r = 14.713327291948595, D = 0.326740103318145, EN0 = None
i = 6.624999999999991, C = 474.27917000156253, a = 15.399337161085255, m = 19.0, p = 9.0, r = 14.813950350936087, D = 0.3508621688120129, EN0 = None
i = 6.669999999999991, C = 477.5006888921392, a = 15.451548286371485, m = 19.0, p = 9.0, r = 14.914573409923577, D = 0.37570627576665494, EN0 = None
i = 6.714999999999991, C = 480.7222077827158, a = 15.503583582235363, m = 19.0, p = 9.0, r = 15.015196468911068, D = 0.4011829857740947, EN0 = None
i = 6.759999999999991, C = 483.9437266732925, a = 15.555444813204353, m = 19.0, p = 9.0, r = 15.115819527898557, D = 0.42719361674000894, EN0 = None
i = 6.804999999999991, C = 487.1652455638691, a = 15.607133714488851, m = 19.0, p = 9.0, r = 15.21644258688605, D = 0.4536312629221214, EN0 = None
i = 6.849999999999991, C = 490.3867644544458, a = 15.658651992659614, m = 19.0, p = 9.0, r = 15.317065645873539, D = 0.4803820171034743, EN0 = None
i = 6.894999999999991, C = 493.60828334502247, a = 15.710001326305203, m = 19.0, p = 9.0, r = 15.417688704861028, D = 0.5073263747714511, EN0 = None
