F = 1e-07; Nimp = 7; Range: [0.1, 40.0]
i = 0.1, C = 6.039527731224276, a = 1.7377467783345588, m = 13.0, p = 6.0, r = 0.18708286933869708, D = 0.9662531298769111
i = 0.17980000000000002, C = 10.85907086074125, a = 2.330136354458817, m = 13.0, p = 6.0, r = 0.33637499907097734, D = 0.7105168450382423
i = 0.25960000000000005, C = 15.678613990258224, a = 2.7998762463953852, m = 13.0, p = 6.0, r = 0.4856671288032577, D = 0.36682533644576737
i = 0.33940000000000003, C = 20.498157119775197, a = 3.201418210713433, m = 13.0, p = 6.0, r = 0.6349592585355379, D = 0.1506410017421562
i = 0.4192, C = 25.317700249292166, a = 3.557927785192679, m = 13.0, p = 6.0, r = 0.784251388267818, D = 0.05544277543723285
i = 0.499, C = 30.13724337880914, a = 3.881832259308041, m = 13.0, p = 6.0, r = 0.9335435180000983, D = 0.01978114571722402
i = 0.5788000000000001, C = 34.95678650832612, a = 4.180716834965394, m = 13.0, p = 6.0, r = 1.0828356477323788, D = 0.007167837817059764
i = 0.6586000000000001, C = 39.776329637843084, a = 4.459614873385542, m = 13.0, p = 6.0, r = 1.232127777464659, D = 0.0027066203218104657
i = 0.7384000000000001, C = 44.595872767360056, a = 4.722069078664567, m = 13.0, p = 6.0, r = 1.3814199071969393, D = 0.0010790256554386863
i = 0.8182, C = 49.41541589687703, a = 4.970684857083429, m = 13.0, p = 6.0, r = 1.5307120369292195, D = 0.000456733755030772
i = 0.898, C = 54.234959026394, a = 5.207444624112387, m = 13.0, p = 6.0, r = 1.6800041666614998, D = 0.0002055815289589683
i = 0.9778000000000001, C = 59.05450215591098, a = 5.433898331580698, m = 13.0, p = 6.0, r = 1.8292962963937802, D = 9.832762417699719e-05
i = 1.0576, C = 63.874045285427954, a = 5.65128504348471, m = 13.0, p = 6.0, r = 1.9785884261260605, D = 4.987721254094517e-05
i = 1.1374000000000002, C = 68.69358841494493, a = 5.860613808081237, m = 13.0, p = 6.0, r = 2.1278805558583405, D = 2.6765510164444156e-05
i = 1.2172000000000003, C = 73.51313154446191, a = 6.062719338071898, m = 13.0, p = 6.0, r = 2.2771726855906214, D = 1.5153104271511085e-05
i = 1.2970000000000002, C = 78.33267467397887, a = 6.258301473801772, m = 13.0, p = 6.0, r = 2.426464815322901, D = 9.025329253768688e-06
i = 1.3768000000000002, C = 83.15221780349584, a = 6.4479538538786025, m = 13.0, p = 6.0, r = 2.575756945055182, D = 5.639802926388888e-06
i = 1.4566000000000003, C = 87.97176093301283, a = 6.632185195431926, m = 13.0, p = 6.0, r = 2.7250490747874623, D = 3.6876801616928033e-06
i = 1.5364000000000002, C = 92.79130406252979, a = 6.811435386999197, m = 13.0, p = 6.0, r = 2.874341204519742, D = 2.5167274514976815e-06
i = 1.6162000000000003, C = 97.61084719204678, a = 6.98608786060005, m = 13.0, p = 6.0, r = 3.0236333342520227, D = 1.7884561638234747e-06
i = 1.6960000000000002, C = 102.43039032156373, a = 7.156479243369736, m = 13.0, p = 6.0, r = 3.1729254639843023, D = 1.3204007658524372e-06
i = 1.7758000000000003, C = 107.24993345108071, a = 7.322906985995409, m = 13.0, p = 6.0, r = 3.322217593716583, D = 1.0106562619878598e-06
i = 1.8556000000000004, C = 112.0694765805977, a = 7.4856354633590625, m = 13.0, p = 6.0, r = 3.4715097234488637, D = 8.004089763236923e-07
i = 1.9354000000000002, C = 116.88901971011465, a = 7.644900905509327, m = 13.0, p = 6.0, r = 3.6208018531811432, D = 6.546721256321664e-07
i = 2.0152, C = 121.70856283963163, a = 7.800915421911444, m = 13.0, p = 6.0, r = 3.7700939829134232, D = 5.520523007085409e-07
i = 2.095, C = 126.5281059691486, a = 7.953870314794823, m = 13.0, p = 6.0, r = 3.9193861126457037, D = 4.791449269895241e-07
i = 2.1748000000000003, C = 131.34764909866558, a = 8.103938829318295, m = 13.0, p = 6.0, r = 4.068678242377985, D = 4.273768395245386e-07
i = 2.2546000000000004, C = 136.16719222818256, a = 8.251278453312025, m = 13.0, p = 6.0, r = 4.217970372110265, D = 3.9118092074217703e-07
i = 2.3344000000000005, C = 140.98673535769953, a = 8.3960328536071, m = 13.0, p = 6.0, r = 4.3672625018425455, D = 3.6691643294110626e-07
i = 2.4142000000000006, C = 145.8062784872165, a = 8.538333516770603, m = 13.0, p = 6.0, r = 4.5165546315748255, D = 3.522183659494132e-07
i = 2.494, C = 150.62582161673345, a = 8.678301147596038, m = 13.0, p = 6.0, r = 4.6658467613071055, D = 3.456005929717426e-07
