F = 1e-07; Nimp = 6; Range: [5.0, 11.0]
i = 7.639999999999983, C = 431.15317180235115, a = 14.682526550331028, m = 11.0, p = 5.0, r = 13.23286816982619, D = 0.03826858806278291
i = 7.699999999999982, C = 434.5391914761916, a = 14.740067697880352, m = 11.0, p = 5.0, r = 13.336791218280322, D = 0.04389514742810618
i = 7.759999999999982, C = 437.925211150032, a = 14.797385092475494, m = 11.0, p = 5.0, r = 13.440714266734455, D = 0.05020571753387558
i = 7.819999999999982, C = 441.31123082387245, a = 14.854481324231292, m = 11.0, p = 5.0, r = 13.544637315188586, D = 0.057257570179941285
i = 7.879999999999981, C = 444.6972504977129, a = 14.9113589336739, m = 11.0, p = 5.0, r = 13.64856036364272, D = 0.06510842569952766
i = 7.939999999999981, C = 448.08327017155335, a = 14.968020413059861, m = 11.0, p = 5.0, r = 13.75248341209685, D = 0.0738156627662736
i = 7.9999999999999805, C = 451.4692898453938, a = 15.024468207650376, m = 11.0, p = 5.0, r = 13.856406460550984, D = 0.08343542201886843
i = 8.059999999999981, C = 454.85530951923425, a = 15.080704716942678, m = 11.0, p = 5.0, r = 13.960329509005115, D = 0.09402161057344309
i = 8.11999999999998, C = 458.24132919307465, a = 15.136732295860204, m = 11.0, p = 5.0, r = 14.064252557459245, D = 0.10562481862338582
i = 8.179999999999978, C = 461.62734886691504, a = 15.192553255903286, m = 11.0, p = 5.0, r = 14.168175605913378, D = 0.1182911636889068
i = 8.239999999999979, C = 465.01336854075555, a = 15.248169866261911, m = 11.0, p = 5.0, r = 14.27209865436751, D = 0.13206108252931859
i = 8.29999999999998, C = 468.399388214596, a = 15.303584354892092, m = 11.0, p = 5.0, r = 14.376021702821644, D = 0.1469680950938157
i = 8.359999999999978, C = 471.7854078884364, a = 15.35879890955729, m = 11.0, p = 5.0, r = 14.479944751275774, D = 0.1630375689641463
i = 8.419999999999977, C = 475.1714275622768, a = 15.413815678836256, m = 11.0, p = 5.0, r = 14.583867799729905, D = 0.1802855163208428
i = 8.479999999999977, C = 478.5574472361173, a = 15.468636773098613, m = 11.0, p = 5.0, r = 14.687790848184038, D = 0.1987174583209364
