F = 1e-07; Nimp = 25; Range: [1, 10] EN0 = None
i = 1.0, C = 120.29984958040731, a = 7.755638258080611, m = 49.0, p = 24.0, r = 3.5355339059327373, D = 0.0025372376647377084, EN0 = None
i = 1.09, C = 131.126836042644, a = 8.09712405865947, m = 49.0, p = 24.0, r = 3.853731957466684, D = 0.0012858539668559894, EN0 = None
i = 2.6200000000000014, C = 315.1856059006673, a = 12.553597211569825, m = 49.0, p = 24.0, r = 9.263098833543777, D = 0.0011259749310152884, EN0 = None
i = 2.7100000000000017, C = 326.012592362904, a = 12.767391909918485, m = 49.0, p = 24.0, r = 9.581296885077723, D = 0.0016080694126227274, EN0 = None
i = 2.8000000000000016, C = 336.8395788251407, a = 12.977665021588836, m = 49.0, p = 24.0, r = 9.899494936611669, D = 0.0023227766586486316, EN0 = None
i = 2.8900000000000015, C = 347.6665652873773, a = 13.184585038737042, m = 49.0, p = 24.0, r = 10.217692988145615, D = 0.0033816035213287405, EN0 = None
i = 2.9800000000000018, C = 358.493551749614, a = 13.388307431292688, m = 49.0, p = 24.0, r = 10.535891039679564, D = 0.004945610293969227, EN0 = None
i = 3.070000000000002, C = 369.3205382118507, a = 13.588976013884393, m = 49.0, p = 24.0, r = 10.854089091213512, D = 0.007243504172130588, EN0 = None
i = 3.160000000000002, C = 380.1475246740873, a = 13.78672413363826, m = 49.0, p = 24.0, r = 11.172287142747457, D = 0.010593426858753443, EN0 = None
i = 3.2500000000000018, C = 390.974511136324, a = 13.981675706729934, m = 49.0, p = 24.0, r = 11.490485194281401, D = 0.015427168397880027, EN0 = None
i = 3.340000000000002, C = 401.8014975985607, a = 14.17394612658311, m = 49.0, p = 24.0, r = 11.80868324581535, D = 0.02231390256793964, EN0 = None
i = 3.4300000000000024, C = 412.62848406079735, a = 14.363643062621637, m = 49.0, p = 24.0, r = 12.126881297349298, D = 0.03197835107013509, EN0 = None
i = 3.5200000000000022, C = 423.455470523034, a = 14.550867165276337, m = 49.0, p = 24.0, r = 12.445079348883244, D = 0.04530581930125118, EN0 = None
i = 3.610000000000002, C = 434.28245698527064, a = 14.735712690353166, m = 49.0, p = 24.0, r = 12.76327740041719, D = 0.06332444168003297, EN0 = None
i = 3.7000000000000024, C = 445.1094434475073, a = 14.918268053757235, m = 49.0, p = 24.0, r = 13.081475451951135, D = 0.08715426563880957, EN0 = None
i = 3.7900000000000027, C = 455.93642990974405, a = 15.09861632583834, m = 49.0, p = 24.0, r = 13.399673503485085, D = 0.11791479517435818, EN0 = None
i = 3.8800000000000026, C = 466.76341637198067, a = 15.27683567320112, m = 49.0, p = 24.0, r = 13.71787155501903, D = 0.1565884916392737, EN0 = None
i = 3.9700000000000024, C = 477.59040283421734, a = 15.452999754646626, m = 49.0, p = 24.0, r = 14.036069606552976, D = 0.20384790752887533, EN0 = None
i = 4.060000000000002, C = 488.41738929645396, a = 15.627178076934651, m = 49.0, p = 24.0, r = 14.354267658086922, D = 0.25986751048521556, EN0 = None
i = 4.150000000000003, C = 499.2443757586907, a = 15.79943631524066, m = 49.0, p = 24.0, r = 14.67246570962087, D = 0.3241547402686154, EN0 = None
i = 4.240000000000003, C = 510.07136222092737, a = 15.969836602497336, m = 49.0, p = 24.0, r = 14.990663761154815, D = 0.3954435698113472, EN0 = None
i = 4.330000000000003, C = 520.898348683164, a = 16.13843779123562, m = 49.0, p = 24.0, r = 15.308861812688763, D = 0.4716924954390159, EN0 = None
i = 4.4200000000000035, C = 531.7253351454008, a = 16.305295691053885, m = 49.0, p = 24.0, r = 15.62705986422271, D = 0.5502139463014062, EN0 = None
i = 4.510000000000003, C = 542.5523216076374, a = 16.470463284431883, m = 49.0, p = 24.0, r = 15.945257915756658, D = 0.6279342979373367, EN0 = None
i = 4.600000000000003, C = 553.379308069874, a = 16.63399092325522, m = 49.0, p = 24.0, r = 16.263455967290604, D = 0.701749252493755, EN0 = None
i = 4.690000000000003, C = 564.2062945321106, a = 16.795926508116644, m = 49.0, p = 24.0, r = 16.58165401882455, D = 0.7689090486918833, EN0 = None
i = 4.780000000000003, C = 575.0332809943473, a = 16.95631565220386, m = 49.0, p = 24.0, r = 16.899852070358495, D = 0.8273533502970783, EN0 = None
i = 4.870000000000004, C = 585.8602674565841, a = 17.11520183136302, m = 49.0, p = 24.0, r = 17.218050121892446, D = 0.8759240616627525, EN0 = None
i = 4.9600000000000035, C = 596.6872539188207, a = 17.27262652173694, m = 49.0, p = 24.0, r = 17.53624817342639, D = 0.9144148208406122, EN0 = None
