F = 1e-07; Nimp = 2; Range: [1, 20] EN0 = None
i = 14.489999999999997, C = 554.0918057171813, a = 16.644695937703116, m = 3.0, p = 1.0, r = 14.489999999999997, D = 0.0014462599693505316, EN0 = None
i = 14.679999999999996, C = 561.3573297396978, a = 16.753467249194983, m = 3.0, p = 1.0, r = 14.679999999999996, D = 0.0020868934182703717, EN0 = None
i = 14.869999999999996, C = 568.6228537622143, a = 16.861536907444325, m = 3.0, p = 1.0, r = 14.869999999999997, D = 0.0029843385102101354, EN0 = None
i = 15.059999999999995, C = 575.8883777847308, a = 16.968918318277254, m = 3.0, p = 1.0, r = 15.059999999999995, D = 0.004228136247376241, EN0 = None
i = 15.249999999999996, C = 583.1539018072473, a = 17.075624465993144, m = 3.0, p = 1.0, r = 15.249999999999996, D = 0.005932917879036781, EN0 = None
i = 15.439999999999996, C = 590.4194258297638, a = 17.181667931690505, m = 3.0, p = 1.0, r = 15.439999999999996, D = 0.00824286146569346, EN0 = None
i = 15.629999999999995, C = 597.6849498522803, a = 17.287060910581072, m = 3.0, p = 1.0, r = 15.629999999999995, D = 0.011335911988894493, EN0 = None
i = 15.819999999999997, C = 604.9504738747969, a = 17.39181522835953, m = 3.0, p = 1.0, r = 15.819999999999997, D = 0.015427273952612602, EN0 = None
i = 16.009999999999998, C = 612.2159978973135, a = 17.49594235669107, m = 3.0, p = 1.0, r = 16.009999999999998, D = 0.0207715516045088, EN0 = None
i = 16.199999999999996, C = 619.4815219198299, a = 17.59945342787426, m = 3.0, p = 1.0, r = 16.199999999999996, D = 0.027662801312767077, EN0 = None
i = 16.389999999999993, C = 626.7470459423464, a = 17.702359248732165, m = 3.0, p = 1.0, r = 16.389999999999993, D = 0.03643170037671812, EN0 = None
i = 16.579999999999995, C = 634.0125699648629, a = 17.804670313780917, m = 3.0, p = 1.0, r = 16.579999999999995, D = 0.047439057140630785, EN0 = None
i = 16.769999999999996, C = 641.2780939873795, a = 17.906396817721028, m = 3.0, p = 1.0, r = 16.769999999999996, D = 0.06106501827107103, EN0 = None
i = 16.959999999999994, C = 648.5436180098959, a = 18.007548667293612, m = 3.0, p = 1.0, r = 16.959999999999994, D = 0.07769359291728309, EN0 = None
i = 17.149999999999995, C = 655.8091420324125, a = 18.108135492540537, m = 3.0, p = 1.0, r = 17.149999999999995, D = 0.09769251836906377, EN0 = None
i = 17.339999999999996, C = 663.0746660549291, a = 18.208166657504663, m = 3.0, p = 1.0, r = 17.339999999999996, D = 0.12138902454498732, EN0 = None
i = 17.529999999999994, C = 670.3401900774455, a = 18.307651270403934, m = 3.0, p = 1.0, r = 17.529999999999994, D = 0.14904267535037904, EN0 = None
i = 17.719999999999995, C = 677.6057140999621, a = 18.406598193310494, m = 3.0, p = 1.0, r = 17.719999999999995, D = 0.18081710573345022, EN0 = None
i = 17.909999999999997, C = 684.8712381224786, a = 18.505016051364002, m = 3.0, p = 1.0, r = 17.909999999999997, D = 0.21675304221576197, EN0 = None
i = 18.099999999999994, C = 692.1367621449951, a = 18.602913241546272, m = 3.0, p = 1.0, r = 18.099999999999994, D = 0.2567453862987853, EN0 = None
i = 18.289999999999996, C = 699.4022861675116, a = 18.700297941042432, m = 3.0, p = 1.0, r = 18.289999999999996, D = 0.3005272519225339, EN0 = None
i = 18.479999999999997, C = 706.6678101900283, a = 18.797178115212244, m = 3.0, p = 1.0, r = 18.479999999999997, D = 0.3476636009626788, EN0 = None
