F = 1e-07; Nimp = 15; Range: [1, 10] EN0 = None
i = 3.564999999999996, C = 316.54345934139604, a = 12.580609272634534, m = 29.0, p = 14.0, r = 9.763154587529575, D = 0.0010996881298001077, EN0 = None
i = 3.609999999999996, C = 320.53909908062826, a = 12.659761038041522, m = 29.0, p = 14.0, r = 9.886392162968237, D = 0.0013146326510355354, EN0 = None
i = 3.654999999999996, C = 324.5347388198604, a = 12.738420993589834, m = 29.0, p = 14.0, r = 10.009629738406899, D = 0.0015718055362415428, EN0 = None
i = 3.6999999999999957, C = 328.53037855909264, a = 12.816598194511144, m = 29.0, p = 14.0, r = 10.13286731384556, D = 0.001879192655472608, EN0 = None
i = 3.7449999999999957, C = 332.52601829832486, a = 12.894301421525807, m = 29.0, p = 14.0, r = 10.256104889284224, D = 0.0022461689025550565, EN0 = None
i = 3.7899999999999956, C = 336.5216580375571, a = 12.971539192354102, m = 29.0, p = 14.0, r = 10.379342464722885, D = 0.002683703659871104, EN0 = None
i = 3.8349999999999955, C = 340.5172977767893, a = 13.048319772614198, m = 29.0, p = 14.0, r = 10.502580040161547, D = 0.003204586991662609, EN0 = None
i = 3.8799999999999955, C = 344.51293751602145, a = 13.124651186146272, m = 29.0, p = 14.0, r = 10.62581761560021, D = 0.003823676123218062, EN0 = None
i = 3.9249999999999954, C = 348.50857725525367, a = 13.20054122479934, m = 29.0, p = 14.0, r = 10.749055191038872, D = 0.004558160941029068, EN0 = None
i = 3.9699999999999953, C = 352.5042169944859, a = 13.27599745771454, m = 29.0, p = 14.0, r = 10.872292766477534, D = 0.005427846228966684, EN0 = None
i = 4.014999999999995, C = 356.4998567337181, a = 13.351027240136208, m = 29.0, p = 14.0, r = 10.995530341916195, D = 0.006455447125076205, EN0 = None
i = 4.059999999999995, C = 360.4954964729503, a = 13.425637721779744, m = 29.0, p = 14.0, r = 11.118767917354859, D = 0.007666892836140958, EN0 = None
i = 4.104999999999995, C = 364.4911362121825, a = 13.499835854783244, m = 29.0, p = 14.0, r = 11.24200549279352, D = 0.009091631989150058, EN0 = None
i = 4.149999999999995, C = 368.4867759514147, a = 13.573628401267928, m = 29.0, p = 14.0, r = 11.365243068232182, D = 0.010762931146566124, EN0 = None
i = 4.194999999999995, C = 372.4824156906469, a = 13.647021940530596, m = 29.0, p = 14.0, r = 11.488480643670844, D = 0.012718156002055383, EN0 = None
i = 4.239999999999995, C = 376.47805542987913, a = 13.720022875889805, m = 29.0, p = 14.0, r = 11.611718219109507, D = 0.014999022658809182, EN0 = None
i = 4.284999999999995, C = 380.47369516911135, a = 13.79263744120593, m = 29.0, p = 14.0, r = 11.734955794548169, D = 0.01765180425050555, EN0 = None
i = 4.329999999999995, C = 384.4693349083435, a = 13.864871707093858, m = 29.0, p = 14.0, r = 11.85819336998683, D = 0.020727476096341988, EN0 = None
i = 4.374999999999995, C = 388.46497464757573, a = 13.936731586845887, m = 29.0, p = 14.0, r = 11.981430945425492, D = 0.024281780712164195, EN0 = None
i = 4.419999999999995, C = 392.46061438680795, a = 14.008222842081146, m = 29.0, p = 14.0, r = 12.104668520864156, D = 0.028375192477926164, EN0 = None
i = 4.4649999999999945, C = 396.45625412604016, a = 14.079351088136843, m = 29.0, p = 14.0, r = 12.227906096302817, D = 0.03307276075944203, EN0 = None
i = 4.5099999999999945, C = 400.4518938652724, a = 14.150121799215588, m = 29.0, p = 14.0, r = 12.351143671741479, D = 0.03844380998326391, EN0 = None
