F = 1e-07; Nimp = 6; Range: [1, 10] EN0 = None
i = 6.400000000000005, C = 361.17543187631617, a = 13.438292895236287, m = 11.0, p = 5.0, r = 11.085125168440822, D = 0.0013079466915182655, EN0 = None
i = 6.490000000000005, C = 366.25446138707684, a = 13.532451023134664, m = 11.0, p = 5.0, r = 11.241009741122019, D = 0.0017190133444253154, EN0 = None
i = 6.580000000000005, C = 371.3334908978376, a = 13.625958514868552, m = 11.0, p = 5.0, r = 11.39689431380322, D = 0.0022515673964054565, EN0 = None
i = 6.670000000000005, C = 376.41252040859825, a = 13.718828674646357, m = 11.0, p = 5.0, r = 11.55277888648442, D = 0.002938226239022065, EN0 = None
i = 6.760000000000005, C = 381.491549919359, a = 13.81107435935668, m = 11.0, p = 5.0, r = 11.708663459165617, D = 0.0038191096693536942, EN0 = None
i = 6.850000000000005, C = 386.57057943011966, a = 13.902707999345301, m = 11.0, p = 5.0, r = 11.864548031846816, D = 0.004943125342852283, EN0 = None
i = 6.940000000000005, C = 391.64960894088034, a = 13.993741617967661, m = 11.0, p = 5.0, r = 12.020432604528013, D = 0.006369328323045887, EN0 = None
i = 7.030000000000006, C = 396.7286384516411, a = 14.084186850003821, m = 11.0, p = 5.0, r = 12.176317177209215, D = 0.008168306942280589, EN0 = None
i = 7.120000000000005, C = 401.80766796240175, a = 14.174054959015818, m = 11.0, p = 5.0, r = 12.332201749890412, D = 0.010423527675077033, EN0 = None
i = 7.210000000000005, C = 406.8866974731624, a = 14.263356853720698, m = 11.0, p = 5.0, r = 12.488086322571613, D = 0.013232550173620036, EN0 = None
i = 7.300000000000006, C = 411.96572698392316, a = 14.352103103446602, m = 11.0, p = 5.0, r = 12.643970895252812, D = 0.016708001236750814, EN0 = None
i = 7.390000000000006, C = 417.04475649468384, a = 14.440303952733887, m = 11.0, p = 5.0, r = 12.799855467934012, D = 0.020978175059957072, EN0 = None
i = 7.480000000000006, C = 422.1237860054445, a = 14.527969335138419, m = 11.0, p = 5.0, r = 12.95574004061521, D = 0.026187109008653828, EN0 = None
i = 7.570000000000006, C = 427.20281551620525, a = 14.615108886289647, m = 11.0, p = 5.0, r = 13.111624613296408, D = 0.032493972257831676, EN0 = None
i = 7.6600000000000055, C = 432.2818450269659, a = 14.701731956252058, m = 11.0, p = 5.0, r = 13.267509185977609, D = 0.040071602215106084, EN0 = None
i = 7.750000000000006, C = 437.36087453772666, a = 14.787847621234922, m = 11.0, p = 5.0, r = 13.423393758658808, D = 0.04910403406951268, EN0 = None
i = 7.840000000000006, C = 442.43990404848734, a = 14.873464694691808, m = 11.0, p = 5.0, r = 13.579278331340005, D = 0.05978289521328185, EN0 = None
i = 7.930000000000006, C = 447.518933559248, a = 14.95859173784832, m = 11.0, p = 5.0, r = 13.735162904021205, D = 0.07230258106724864, EN0 = None
i = 8.020000000000007, C = 452.59796307000875, a = 15.043237069693623, m = 11.0, p = 5.0, r = 13.891047476702404, D = 0.0868541931474052, EN0 = None
i = 8.110000000000007, C = 457.6769925807694, a = 15.127408776468782, m = 11.0, p = 5.0, r = 14.046932049383605, D = 0.10361830337882498, EN0 = None
i = 8.200000000000006, C = 462.7560220915301, a = 15.21111472068254, m = 11.0, p = 5.0, r = 14.202816622064804, D = 0.12275670777186429, EN0 = None
i = 8.290000000000006, C = 467.8350516022908, a = 15.294362549682983, m = 11.0, p = 5.0, r = 14.358701194746, D = 0.14440344212519493, EN0 = None
