F = 1e-07; Nimp = 16; Range: [1, 10] EN0 = None
i = 3.429999999999996, C = 315.8497259431661, a = 12.56681594404816, m = 31.0, p = 15.0, r = 9.70150503787942, D = 0.001097593924269639, EN0 = None
i = 3.474999999999996, C = 319.9935270123913, a = 12.648982706375863, m = 31.0, p = 15.0, r = 9.828784258492998, D = 0.0013142599969398138, EN0 = None
i = 3.519999999999996, C = 324.13732808161654, a = 12.730619153867115, m = 31.0, p = 15.0, r = 9.956063479106577, D = 0.001574254214443614, EN0 = None
i = 3.564999999999996, C = 328.2811291508417, a = 12.811735424032953, m = 31.0, p = 15.0, r = 10.083342699720156, D = 0.0018859546513833782, EN0 = None
i = 3.609999999999996, C = 332.4249302200669, a = 12.89234133546089, m = 31.0, p = 15.0, r = 10.210621920333734, D = 0.002259235442309415, EN0 = None
i = 3.654999999999996, C = 336.56873128929215, a = 12.972446401687158, m = 31.0, p = 15.0, r = 10.337901140947313, D = 0.00270569511704066, EN0 = None
i = 3.6999999999999957, C = 340.71253235851736, a = 13.052059844302686, m = 31.0, p = 15.0, r = 10.46518036156089, D = 0.003238909019322039, EN0 = None
i = 3.7449999999999957, C = 344.8563334277426, a = 13.131190605343876, m = 31.0, p = 15.0, r = 10.592459582174468, D = 0.0038747054378637964, EN0 = None
i = 3.7899999999999956, C = 349.00013449696775, a = 13.209847359015315, m = 31.0, p = 15.0, r = 10.719738802788047, D = 0.004631464113353559, EN0 = None
i = 3.8349999999999955, C = 353.14393556619297, a = 13.288038522787947, m = 31.0, p = 15.0, r = 10.847018023401626, D = 0.005530434574541432, EN0 = None
i = 3.8799999999999955, C = 357.2877366354182, a = 13.365772267912883, m = 31.0, p = 15.0, r = 10.974297244015204, D = 0.006596070282196538, EN0 = None
i = 3.9249999999999954, C = 361.4315377046434, a = 13.443056529388013, m = 31.0, p = 15.0, r = 11.101576464628783, D = 0.007856372812900296, EN0 = None
i = 3.9699999999999953, C = 365.5753387738686, a = 13.51989901541185, m = 31.0, p = 15.0, r = 11.22885568524236, D = 0.009343238298861311, EN0 = None
i = 4.014999999999995, C = 369.71913984309384, a = 13.596307216356466, m = 31.0, p = 15.0, r = 11.356134905855939, D = 0.011092796077891608, EN0 = None
i = 4.059999999999995, C = 373.862940912319, a = 13.672288413289104, m = 31.0, p = 15.0, r = 11.483414126469517, D = 0.013145727040840173, EN0 = None
i = 4.104999999999995, C = 378.0067419815442, a = 13.747849686069895, m = 31.0, p = 15.0, r = 11.610693347083096, D = 0.015547546562487587, EN0 = None
i = 4.149999999999995, C = 382.15054305076944, a = 13.822997921051162, m = 31.0, p = 15.0, r = 11.737972567696675, D = 0.01834883426476262, EN0 = None
i = 4.194999999999995, C = 386.29434411999466, a = 13.897739818402032, m = 31.0, p = 15.0, r = 11.865251788310252, D = 0.021605390317876717, EN0 = None
i = 4.239999999999995, C = 390.4381451892199, a = 13.972081899080392, m = 31.0, p = 15.0, r = 11.99253100892383, D = 0.02537829570143475, EN0 = None
i = 4.284999999999995, C = 394.5819462584451, a = 14.046030511472718, m = 31.0, p = 15.0, r = 12.119810229537409, D = 0.029733852017514193, EN0 = None
i = 4.329999999999995, C = 398.72574732767026, a = 14.119591837720916, m = 31.0, p = 15.0, r = 12.247089450150987, D = 0.034743375296210105, EN0 = None
i = 4.374999999999995, C = 402.8695483968955, a = 14.192771899754034, m = 31.0, p = 15.0, r = 12.374368670764566, D = 0.0404828180039741, EN0 = None
i = 4.419999999999995, C = 407.0133494661207, a = 14.265576565041469, m = 31.0, p = 15.0, r = 12.501647891378145, D = 0.04703219440747247, EN0 = None
i = 4.4649999999999945, C = 411.1571505353459, a = 14.338011552083259, m = 31.0, p = 15.0, r = 12.628927111991722, D = 0.05447478680598971, EN0 = None
i = 4.5099999999999945, C = 415.30095160457114, a = 14.410082435651976, m = 31.0, p = 15.0, r = 12.7562063326053, D = 0.06289611414083822, EN0 = None
