F = 1e-07; Nimp = 9; Range: [1, 10] EN0 = None
i = 4.869999999999994, C = 330.9317403855338, a = 12.863353769245673, m = 17.0, p = 8.0, r = 10.330830073135445, D = 0.0011028698541273975, EN0 = None
i = 4.914999999999994, C = 333.9896312104514, a = 12.922647391507118, m = 17.0, p = 8.0, r = 10.426289488595629, D = 0.0012915977707204397, EN0 = None
i = 4.959999999999994, C = 337.0475220353691, a = 12.98167019368789, m = 17.0, p = 8.0, r = 10.521748904055814, D = 0.0015115870552141243, EN0 = None
i = 5.004999999999994, C = 340.1054128602868, a = 13.040425853097872, m = 17.0, p = 8.0, r = 10.617208319515997, D = 0.0017677012038977145, EN0 = None
i = 5.049999999999994, C = 343.1633036852044, a = 13.098917964572578, m = 17.0, p = 8.0, r = 10.712667734976181, D = 0.002065484598083698, EN0 = None
i = 5.0949999999999935, C = 346.2211945101221, a = 13.157150043039755, m = 17.0, p = 8.0, r = 10.808127150436365, D = 0.0024112414125903154, EN0 = None
i = 5.1399999999999935, C = 349.2790853350397, a = 13.215125525984226, m = 17.0, p = 8.0, r = 10.903586565896548, D = 0.0028121203204122887, EN0 = None
i = 5.184999999999993, C = 352.33697615995743, a = 13.27284777581581, m = 17.0, p = 8.0, r = 10.999045981356732, D = 0.0032762047295682743, EN0 = None
i = 5.229999999999993, C = 355.3948669848751, a = 13.330320082144972, m = 17.0, p = 8.0, r = 11.094505396816915, D = 0.0038126081071534366, EN0 = None
i = 5.274999999999993, C = 358.45275780979273, a = 13.387545663970538, m = 17.0, p = 8.0, r = 11.189964812277099, D = 0.004431573733378487, EN0 = None
i = 5.319999999999993, C = 361.5106486347104, a = 13.444527671783609, m = 17.0, p = 8.0, r = 11.285424227737284, D = 0.005144577986064682, EN0 = None
i = 5.364999999999993, C = 364.5685394596281, a = 13.501269189591548, m = 17.0, p = 8.0, r = 11.380883643197466, D = 0.005964435981411944, EN0 = None
i = 5.409999999999993, C = 367.62643028454573, a = 13.557773236865739, m = 17.0, p = 8.0, r = 11.476343058657651, D = 0.006905408093638127, EN0 = None
i = 5.454999999999993, C = 370.6843211094634, a = 13.614042770416571, m = 17.0, p = 8.0, r = 11.571802474117836, D = 0.007983305544532242, EN0 = None
i = 5.499999999999993, C = 373.74221193438103, a = 13.670080686198984, m = 17.0, p = 8.0, r = 11.667261889578018, D = 0.009215592900109261, EN0 = None
i = 5.544999999999993, C = 376.8001027592987, a = 13.725889821051652, m = 17.0, p = 8.0, r = 11.7627213050382, D = 0.010621484940582786, EN0 = None
i = 5.589999999999993, C = 379.8579935842164, a = 13.781472954372772, m = 17.0, p = 8.0, r = 11.858180720498385, D = 0.01222203498935662, EN0 = None
i = 5.634999999999993, C = 382.91588440913404, a = 13.836832809735292, m = 17.0, p = 8.0, r = 11.95364013595857, D = 0.014040211408154417, EN0 = None
i = 5.679999999999993, C = 385.9737752340517, a = 13.891972056444176, m = 17.0, p = 8.0, r = 12.049099551418752, D = 0.016100958599641207, EN0 = None
i = 5.7249999999999925, C = 389.03166605896934, a = 13.946893311038293, m = 17.0, p = 8.0, r = 12.144558966878936, D = 0.018431238521322363, EN0 = None
i = 5.7699999999999925, C = 392.08955688388704, a = 14.001599138739243, m = 17.0, p = 8.0, r = 12.240018382339121, D = 0.021060048422120378, EN0 = None
i = 5.814999999999992, C = 395.1474477088047, a = 14.056092054849469, m = 17.0, p = 8.0, r = 12.335477797799307, D = 0.02401841028308607, EN0 = None
i = 5.859999999999992, C = 398.20533853372234, a = 14.110374526101749, m = 17.0, p = 8.0, r = 12.430937213259488, D = 0.02733932729812849, EN0 = None
i = 5.904999999999992, C = 401.26322935864, a = 14.164448971962164, m = 17.0, p = 8.0, r = 12.52639662871967, D = 0.031057702689144123, EN0 = None
i = 5.949999999999992, C = 404.3211201835577, a = 14.21831776588844, m = 17.0, p = 8.0, r = 12.621856044179856, D = 0.03521021623430324, EN0 = None
i = 5.994999999999992, C = 407.37901100847535, a = 14.271983236545568, m = 17.0, p = 8.0, r = 12.71731545964004, D = 0.039835154120043355, EN0 = None
i = 6.039999999999992, C = 410.436901833393, a = 14.325447668980418, m = 17.0, p = 8.0, r = 12.812774875100223, D = 0.04497218812557589, EN0 = None
i = 6.084999999999992, C = 413.49479265831064, a = 14.378713305757067, m = 17.0, p = 8.0, r = 12.908234290560406, D = 0.050662100730018124, EN0 = None
i = 6.129999999999992, C = 416.5526834832283, a = 14.431782348054385, m = 17.0, p = 8.0, r = 13.003693706020591, D = 0.056946453510313265, EN0 = None
i = 6.174999999999992, C = 419.610574308146, a = 14.484656956727452, m = 17.0, p = 8.0, r = 13.099153121480775, D = 0.0638671971808662, EN0 = None
i = 6.219999999999992, C = 422.66846513306365, a = 14.537339253334217, m = 17.0, p = 8.0, r = 13.194612536940959, D = 0.07146622281389214, EN0 = None
i = 6.264999999999992, C = 425.7263559579813, a = 14.58983132112879, m = 17.0, p = 8.0, r = 13.29007195240114, D = 0.07978485516834583, EN0 = None
i = 6.309999999999992, C = 428.78424678289895, a = 14.642135206022703, m = 17.0, p = 8.0, r = 13.385531367861326, D = 0.08886329062851586, EN0 = None
i = 6.3549999999999915, C = 431.84213760781665, a = 14.694252917515348, m = 17.0, p = 8.0, r = 13.480990783321511, D = 0.0987399839879767, EN0 = None
i = 6.3999999999999915, C = 434.9000284327343, a = 14.746186429594845, m = 17.0, p = 8.0, r = 13.576450198781693, D = 0.1094509901750655, EN0 = None
i = 6.444999999999991, C = 437.95791925765195, a = 14.797937681610433, m = 17.0, p = 8.0, r = 13.671909614241876, D = 0.12102926895763547, EN0 = None
i = 6.489999999999991, C = 441.0158100825696, a = 14.849508579117519, m = 17.0, p = 8.0, r = 13.767369029702062, D = 0.13350396263332878, EN0 = None
i = 6.534999999999991, C = 444.07370090748725, a = 14.900900994696382, m = 17.0, p = 8.0, r = 13.862828445162245, D = 0.14689965864166438, EN0 = None
i = 6.579999999999991, C = 447.13159173240496, a = 14.95211676874557, m = 17.0, p = 8.0, r = 13.958287860622429, D = 0.16123565085518976, EN0 = None
i = 6.624999999999991, C = 450.1894825573226, a = 15.003157710250909, m = 17.0, p = 8.0, r = 14.05374727608261, D = 0.17652521494028864, EN0 = None
i = 6.669999999999991, C = 453.24737338224026, a = 15.054025597531052, m = 17.0, p = 8.0, r = 14.149206691542796, D = 0.19277491454340887, EN0 = None
i = 6.714999999999991, C = 456.3052642071579, a = 15.104722178960424, m = 17.0, p = 8.0, r = 14.244666107002981, D = 0.20998395607551087, EN0 = None
i = 6.759999999999991, C = 459.3631550320756, a = 15.155249173670414, m = 17.0, p = 8.0, r = 14.340125522463163, D = 0.22814361045781506, EN0 = None
i = 6.804999999999991, C = 462.42104585699326, a = 15.20560827222958, m = 17.0, p = 8.0, r = 14.435584937923347, D = 0.2472367202873906, EN0 = None
i = 6.849999999999991, C = 465.4789366819109, a = 15.255801137303655, m = 17.0, p = 8.0, r = 14.531044353383532, D = 0.26723731042292675, EN0 = None
i = 6.894999999999991, C = 468.53682750682856, a = 15.305829404296073, m = 17.0, p = 8.0, r = 14.626503768843715, D = 0.28811031893701683, EN0 = None
