F = 1e-07; Nimp = 49; Range: [1, 10] EN0 = None
i = 1.0, C = 188.86369141527433, a = 9.717604936795752, m = 97.0, p = 48.0, r = 4.949747468305833, D = 0.02316155714424449, EN0 = None
i = 1.09, C = 205.86142364264904, a = 10.145477407264998, m = 97.0, p = 48.0, r = 5.395224740453358, D = 0.012670479116400662, EN0 = None
i = 1.1800000000000002, C = 222.85915587002376, a = 10.55602093286158, m = 97.0, p = 48.0, r = 5.840702012600883, D = 0.0076779886578888425, EN0 = None
i = 1.2700000000000002, C = 239.85688809739844, a = 10.95118459568184, m = 97.0, p = 48.0, r = 6.286179284748409, D = 0.005180878953879007, EN0 = None
i = 1.3600000000000003, C = 256.8546203247732, a = 11.33257738391345, m = 97.0, p = 48.0, r = 6.731656556895934, D = 0.003889354334338671, EN0 = None
i = 1.4500000000000004, C = 273.85235255214786, a = 11.7015458925765, m = 97.0, p = 48.0, r = 7.177133829043458, D = 0.003233114411884362, EN0 = None
i = 1.5400000000000005, C = 290.85008477952255, a = 12.05923058863049, m = 97.0, p = 48.0, r = 7.622611101190984, D = 0.0029551106150330878, EN0 = None
i = 1.6300000000000006, C = 307.8478170068973, a = 12.406607453427736, m = 97.0, p = 48.0, r = 8.06808837333851, D = 0.002945041982148629, EN0 = None
i = 1.7200000000000006, C = 324.84554923427197, a = 12.744519395298356, m = 97.0, p = 48.0, r = 8.513565645486034, D = 0.0031712210210168537, EN0 = None
i = 1.8100000000000007, C = 341.84328146164665, a = 13.073700345763754, m = 97.0, p = 48.0, r = 8.95904291763356, D = 0.0036551879664319577, EN0 = None
i = 1.9000000000000008, C = 358.8410136890214, a = 13.39479402023453, m = 97.0, p = 48.0, r = 9.404520189781085, D = 0.004467548796273939, EN0 = None
i = 1.9900000000000009, C = 375.8387459163961, a = 13.708368719807549, m = 97.0, p = 48.0, r = 9.849997461928611, D = 0.005737297608444144, EN0 = None
i = 2.080000000000001, C = 392.8364781437708, a = 14.014929149727637, m = 97.0, p = 48.0, r = 10.295474734076135, D = 0.00767271406273819, EN0 = None
i = 2.170000000000001, C = 409.83421037114545, a = 14.314925958089086, m = 97.0, p = 48.0, r = 10.74095200622366, D = 0.010594329070051098, EN0 = None
i = 2.260000000000001, C = 426.8319425985202, a = 14.60876351027903, m = 97.0, p = 48.0, r = 11.186429278371186, D = 0.014980762441611848, EN0 = None
i = 2.3500000000000014, C = 443.8296748258949, a = 14.89680628231929, m = 97.0, p = 48.0, r = 11.631906550518712, D = 0.021526349731640432, EN0 = None
i = 2.4400000000000013, C = 460.8274070532696, a = 15.17938416163959, m = 97.0, p = 48.0, r = 12.077383822666237, D = 0.031204607605704166, EN0 = None
i = 2.530000000000001, C = 477.8251392806443, a = 15.456796875171847, m = 97.0, p = 48.0, r = 12.522861094813761, D = 0.04532295096696601, EN0 = None
i = 2.6200000000000014, C = 494.82287150801903, a = 15.729317714192485, m = 97.0, p = 48.0, r = 12.968338366961287, D = 0.06554194901488143, EN0 = None
i = 2.7100000000000017, C = 511.8206037353938, a = 15.997196687785546, m = 97.0, p = 48.0, r = 13.413815639108815, D = 0.09381968910308891, EN0 = None
i = 2.8000000000000016, C = 528.8183359627684, a = 16.2606632085344, m = 97.0, p = 48.0, r = 13.85929291125634, D = 0.1322354955268684, EN0 = None
i = 2.8900000000000015, C = 545.8160681901431, a = 16.51992839255278, m = 97.0, p = 48.0, r = 14.304770183403864, D = 0.18265825934519778, EN0 = None
i = 2.9800000000000018, C = 562.8138004175179, a = 16.775187039456785, m = 97.0, p = 48.0, r = 14.75024745555139, D = 0.24626392487798954, EN0 = None
i = 3.070000000000002, C = 579.8115326448926, a = 17.02661934508569, m = 97.0, p = 48.0, r = 15.195724727698916, D = 0.3229763946010997, EN0 = None
i = 3.160000000000002, C = 596.8092648722672, a = 17.274392389781287, m = 97.0, p = 48.0, r = 15.641201999846439, D = 0.41098874499929283, EN0 = None
i = 3.2500000000000018, C = 613.8069970996419, a = 17.518661437159544, m = 97.0, p = 48.0, r = 16.086679271993965, D = 0.5065757646021981, EN0 = None
i = 3.340000000000002, C = 630.8047293270166, a = 17.759571072058815, m = 97.0, p = 48.0, r = 16.53215654414149, D = 0.6043824242726061, EN0 = None
i = 3.4300000000000024, C = 647.8024615543914, a = 17.997256201354574, m = 97.0, p = 48.0, r = 16.977633816289018, D = 0.698237087585387, EN0 = None
i = 3.5200000000000022, C = 664.8001937817661, a = 18.231842937313907, m = 97.0, p = 48.0, r = 17.42311108843654, D = 0.7823246105708495, EN0 = None
i = 3.610000000000002, C = 681.7979260091407, a = 18.463449379911932, m = 97.0, p = 48.0, r = 17.868588360584063, D = 0.8523621956383176, EN0 = None
i = 3.7000000000000024, C = 698.7956582365155, a = 18.692186311885983, m = 97.0, p = 48.0, r = 18.31406563273159, D = 0.9063696462640036, EN0 = None
