F = 1e-07; Nimp = 2; Range: [17.0, 20.0]
i = 18.35000000000005, C = 701.6966621746243, a = 18.730945814008223, m = 3.0, p = 1.0, r = 18.35000000000005, D = 0.31507521364087326
i = 18.380000000000052, C = 702.8438501781795, a = 18.746250960901214, m = 3.0, p = 1.0, r = 18.380000000000052, D = 0.3224697995150091
i = 18.410000000000053, C = 703.9910381817349, a = 18.761543622284055, m = 3.0, p = 1.0, r = 18.410000000000053, D = 0.3299417598265279
i = 18.440000000000055, C = 705.1382261852901, a = 18.77682382866296, m = 3.0, p = 1.0, r = 18.440000000000055, D = 0.3374886996232016
i = 18.470000000000056, C = 706.2854141888454, a = 18.792091610420133, m = 3.0, p = 1.0, r = 18.470000000000056, D = 0.3451081274808175
i = 18.500000000000057, C = 707.4326021924007, a = 18.807346997814456, m = 3.0, p = 1.0, r = 18.500000000000057, D = 0.3527974575256164
i = 18.530000000000058, C = 708.579790195956, a = 18.82259002098218, m = 3.0, p = 1.0, r = 18.530000000000058, D = 0.36055401165537315
i = 18.56000000000006, C = 709.7269781995113, a = 18.837820709937645, m = 3.0, p = 1.0, r = 18.56000000000006, D = 0.36837502195738614
i = 18.59000000000006, C = 710.8741662030666, a = 18.853039094573937, m = 3.0, p = 1.0, r = 18.59000000000006, D = 0.390152089886054
i = 18.62000000000006, C = 712.0213542066218, a = 18.868245204663598, m = 3.0, p = 1.0, r = 18.62000000000006, D = 0.42324562346212485
i = 18.650000000000063, C = 713.1685422101772, a = 18.8834390698593, m = 3.0, p = 1.0, r = 18.650000000000063, D = 0.4568352670333604
i = 18.680000000000064, C = 714.3157302137324, a = 18.8986207196945, m = 3.0, p = 1.0, r = 18.680000000000064, D = 0.49068156625775644
i = 18.710000000000065, C = 715.4629182172877, a = 18.91379018358414, m = 3.0, p = 1.0, r = 18.710000000000065, D = 0.5245405442973238
i = 18.740000000000066, C = 716.610106220843, a = 18.9289474908253, m = 3.0, p = 1.0, r = 18.740000000000066, D = 0.5581697004189746
i = 18.770000000000067, C = 717.7572942243983, a = 18.944092670597847, m = 3.0, p = 1.0, r = 18.770000000000067, D = 0.5913317470247618
i = 18.800000000000068, C = 718.9044822279535, a = 18.959225751965104, m = 3.0, p = 1.0, r = 18.800000000000068, D = 0.6238009980605462
i = 18.83000000000007, C = 720.0516702315089, a = 18.974346763874493, m = 3.0, p = 1.0, r = 18.83000000000007, D = 0.655367153550574
i = 18.86000000000007, C = 721.1988582350641, a = 18.989455735158185, m = 3.0, p = 1.0, r = 18.86000000000007, D = 0.6858393817415264
i = 18.89000000000007, C = 722.3460462386195, a = 19.004552694533743, m = 3.0, p = 1.0, r = 18.89000000000007, D = 0.7150495695897708
i = 18.920000000000073, C = 723.4932342421747, a = 19.01963767060475, m = 3.0, p = 1.0, r = 18.920000000000073, D = 0.7428548005745939
i = 18.950000000000074, C = 724.64042224573, a = 19.03471069186146, m = 3.0, p = 1.0, r = 18.950000000000074, D = 0.7691390142945167
i = 18.980000000000075, C = 725.7876102492853, a = 19.0497717866814, m = 3.0, p = 1.0, r = 18.980000000000075, D = 0.7938138319719137
i = 19.010000000000076, C = 726.9347982528406, a = 19.064820983330012, m = 3.0, p = 1.0, r = 19.010000000000076, D = 0.8168185801839268
i = 19.040000000000077, C = 728.0819862563958, a = 19.079858309961264, m = 3.0, p = 1.0, r = 19.040000000000077, D = 0.8381195560266316
i = 19.07000000000008, C = 729.2291742599512, a = 19.094883794618273, m = 3.0, p = 1.0, r = 19.07000000000008, D = 0.8577086295524998
i = 19.10000000000008, C = 730.3763622635064, a = 19.109897465233903, m = 3.0, p = 1.0, r = 19.10000000000008, D = 0.8756012671282347
i = 19.13000000000008, C = 731.5235502670616, a = 19.12489934963138, m = 3.0, p = 1.0, r = 19.13000000000008, D = 0.8918341081912254
i = 19.160000000000082, C = 732.670738270617, a = 19.139889475524893, m = 3.0, p = 1.0, r = 19.160000000000082, D = 0.9064622113459379
i = 19.190000000000083, C = 733.8179262741722, a = 19.154867870520174, m = 3.0, p = 1.0, r = 19.190000000000083, D = 0.919556082892898
i = 19.220000000000084, C = 734.9651142777276, a = 19.16983456211513, m = 3.0, p = 1.0, r = 19.220000000000084, D = 0.9311986336380103
i = 19.250000000000085, C = 736.1123022812828, a = 19.18478957770039, m = 3.0, p = 1.0, r = 19.250000000000085, D = 0.9414821429500277
i = 19.280000000000086, C = 737.2594902848381, a = 19.19973294455991, m = 3.0, p = 1.0, r = 19.280000000000086, D = 0.9505053488774076
i = 19.310000000000088, C = 738.4066782883934, a = 19.214664689871555, m = 3.0, p = 1.0, r = 19.310000000000088, D = 0.9583707279574856
i = 19.34000000000009, C = 739.5538662919487, a = 19.229584840707673, m = 3.0, p = 1.0, r = 19.34000000000009, D = 0.9651820378896063
i = 19.37000000000009, C = 740.7010542955039, a = 19.244493424035664, m = 3.0, p = 1.0, r = 19.37000000000009, D = 0.9710421592609556
i = 19.40000000000009, C = 741.8482422990593, a = 19.259390466718557, m = 3.0, p = 1.0, r = 19.40000000000009, D = 0.9760512658188559
i = 19.430000000000092, C = 742.9954303026145, a = 19.27427599551556, m = 3.0, p = 1.0, r = 19.430000000000092, D = 0.9803053318562991
i = 19.460000000000093, C = 744.1426183061698, a = 19.28915003708263, m = 3.0, p = 1.0, r = 19.460000000000093, D = 0.9838949727815922
i = 19.490000000000094, C = 745.2898063097251, a = 19.304012617973047, m = 3.0, p = 1.0, r = 19.490000000000094, D = 0.9869046019539891
i = 19.520000000000095, C = 746.4369943132804, a = 19.318863764637925, m = 3.0, p = 1.0, r = 19.520000000000095, D = 0.989411882818512
i = 19.550000000000097, C = 747.5841823168357, a = 19.333703503426804, m = 3.0, p = 1.0, r = 19.550000000000097, D = 0.9914874234880073
