F = 1e-07; Nimp = 4; Range: [0.1, 40.0]
i = 0.1, C = 4.797246494259999, a = 1.548748929662261, m = 7.0, p = 3.0, r = 0.1414213562373095, D = 0.7815034909593215
i = 0.17980000000000002, C = 8.625449196679478, a = 2.076710041950907, m = 7.0, p = 3.0, r = 0.2542755985146825, D = 0.387299768310359
i = 0.25960000000000005, C = 12.453651899098958, a = 2.495360885633475, m = 7.0, p = 3.0, r = 0.3671298407920555, D = 0.14902839461471165
i = 0.33940000000000003, C = 16.281854601518436, a = 2.853231028283412, m = 7.0, p = 3.0, r = 0.47998408306942847, D = 0.05168691420176145
i = 0.4192, C = 20.110057303937914, a = 3.1709665170053367, m = 7.0, p = 3.0, r = 0.5928383253468015, D = 0.017545673885591105
i = 0.499, C = 23.938260006357392, a = 3.4596430456303864, m = 7.0, p = 3.0, r = 0.7056925676241744, D = 0.006092234938547869
i = 0.5788000000000001, C = 27.766462708776874, a = 3.7260208472831224, m = 7.0, p = 3.0, r = 0.8185468099015475, D = 0.0022115348598666304
i = 0.6586000000000001, C = 31.594665411196353, a = 3.9745858533434872, m = 7.0, p = 3.0, r = 0.9314010521789204, D = 0.0008471713449037807
i = 0.7384000000000001, C = 35.422868113615834, a = 4.2084954623722615, m = 7.0, p = 3.0, r = 1.0442552944562933, D = 0.0003433796942682329
i = 0.8182, C = 39.25107081603531, a = 4.430071715900055, m = 7.0, p = 3.0, r = 1.1571095367336663, D = 0.0001471789734818439
i = 0.898, C = 43.079273518454784, a = 4.641081421309843, m = 7.0, p = 3.0, r = 1.2699637790110394, D = 6.656996714260953e-05
i = 0.9778000000000001, C = 46.90747622087427, a = 4.842905957215888, m = 7.0, p = 3.0, r = 1.3828180212884125, D = 3.1689004006307006e-05
i = 1.0576, C = 50.73567892329375, a = 5.036649626651319, m = 7.0, p = 3.0, r = 1.4956722635657853, D = 1.583091155773819e-05
i = 1.1374000000000002, C = 54.56388162571323, a = 5.223211733488947, m = 7.0, p = 3.0, r = 1.6085265058431584, D = 8.276800961709596e-06
i = 1.2172000000000003, C = 58.39208432813271, a = 5.403336206832438, m = 7.0, p = 3.0, r = 1.7213807481205317, D = 4.51682000941994e-06
i = 1.2970000000000002, C = 62.220287030552186, a = 5.577646772185927, m = 7.0, p = 3.0, r = 1.8342349903979043, D = 2.5665410181203475e-06
i = 1.3768000000000002, C = 66.04848973297167, a = 5.746672503848278, m = 7.0, p = 3.0, r = 1.9470892326752776, D = 1.5150257920859707e-06
i = 1.4566000000000003, C = 69.87669243539115, a = 5.9108667907249925, m = 7.0, p = 3.0, r = 2.0599434749526506, D = 9.271207776433252e-07
