F = 1e-07; Nimp = 100; Range: [1, 10] EN0 = None
i = 1.0, C = 321.865897878861, a = 12.685935083368136, m = 199.0, p = 99.0, r = 7.071067811865475, D = 0.21613654771712815, EN0 = None
i = 1.009, C = 324.76269095977074, a = 12.742893920922569, m = 199.0, p = 99.0, r = 7.134707422172264, D = 0.20651229056483283, EN0 = None
i = 1.0179999999999998, C = 327.6594840406804, a = 12.799599291397376, m = 199.0, p = 99.0, r = 7.1983470324790515, D = 0.19739899988906176, EN0 = None
i = 1.0269999999999997, C = 330.55627712159014, a = 12.856054548763982, m = 199.0, p = 99.0, r = 7.26198664278584, D = 0.18877480981304556, EN0 = None
i = 1.0359999999999996, C = 333.4530702024999, a = 12.912262973671575, m = 199.0, p = 99.0, r = 7.325626253092629, D = 0.1806179780947464, EN0 = None
i = 1.0449999999999995, C = 336.3498632834096, a = 12.968227775671771, m = 199.0, p = 99.0, r = 7.389265863399418, D = 0.17290703192624818, EN0 = None
i = 1.0539999999999994, C = 339.2466563643193, a = 13.023952095357217, m = 199.0, p = 99.0, r = 7.452905473706206, D = 0.16562088920637544, EN0 = None
i = 1.0629999999999993, C = 342.143449445229, a = 13.079439006418223, m = 199.0, p = 99.0, r = 7.516545084012994, D = 0.15873895778328173, EN0 = None
i = 1.0719999999999992, C = 345.04024252613874, a = 13.134691517621164, m = 199.0, p = 99.0, r = 7.580184694319783, D = 0.15224121507124047, EN0 = None
i = 1.080999999999999, C = 347.9370356070485, a = 13.189712574712317, m = 199.0, p = 99.0, r = 7.643824304626572, D = 0.1461082703229647, EN0 = None
i = 1.089999999999999, C = 350.83382868795815, a = 13.244505062250498, m = 199.0, p = 99.0, r = 7.70746391493336, D = 0.14032141169460857, EN0 = None
i = 1.0989999999999989, C = 353.7306217688679, a = 13.299071805371755, m = 199.0, p = 99.0, r = 7.771103525240148, D = 0.1348626400843824, EN0 = None
i = 1.1079999999999988, C = 356.6274148497776, a = 13.353415571489146, m = 199.0, p = 99.0, r = 7.834743135546938, D = 0.12971469156239485, EN0 = None
i = 1.1169999999999987, C = 359.52420793068734, a = 13.407539071930525, m = 199.0, p = 99.0, r = 7.898382745853726, D = 0.12486105004550994, EN0 = None
i = 1.1259999999999986, C = 362.421001011597, a = 13.461444963517048, m = 199.0, p = 99.0, r = 7.962022356160515, D = 0.12028595170953738, EN0 = None
i = 1.1349999999999985, C = 365.31779409250674, a = 13.515135850085022, m = 199.0, p = 99.0, r = 8.025661966467302, D = 0.11597438247557376, EN0 = None
i = 1.1439999999999984, C = 368.2145871734165, a = 13.568614283953547, m = 199.0, p = 99.0, r = 8.089301576774092, D = 0.11191206975921339, EN0 = None
i = 1.1529999999999982, C = 371.11138025432615, a = 13.621882767340317, m = 199.0, p = 99.0, r = 8.15294118708088, D = 0.1080854695331617, EN0 = None
i = 1.1619999999999981, C = 374.0081733352359, a = 13.674943753727762, m = 199.0, p = 99.0, r = 8.21658079738767, D = 0.10448174962438687, EN0 = None
i = 1.170999999999998, C = 376.9049664161456, a = 13.727799649181685, m = 199.0, p = 99.0, r = 8.280220407694456, D = 0.10108877004971867, EN0 = None
i = 1.179999999999998, C = 379.80175949705534, a = 13.780452813624365, m = 199.0, p = 99.0, r = 8.343860018001246, D = 0.09789506108512754, EN0 = None
i = 1.1889999999999978, C = 382.698552577965, a = 13.832905562064049, m = 199.0, p = 99.0, r = 8.407499628308035, D = 0.09488979966766455, EN0 = None
i = 1.1979999999999977, C = 385.59534565887475, a = 13.885160165782654, m = 199.0, p = 99.0, r = 8.471139238614823, D = 0.0920627846404202, EN0 = None
i = 1.2069999999999976, C = 388.4921387397845, a = 13.937218853483367, m = 199.0, p = 99.0, r = 8.534778848921611, D = 0.08940441127444605, EN0 = None
i = 1.2159999999999975, C = 391.3889318206942, a = 13.989083812399835, m = 199.0, p = 99.0, r = 8.5984184592284, D = 0.08690564543091009, EN0 = None
i = 1.2249999999999974, C = 394.2857249016039, a = 14.040757189368454, m = 199.0, p = 99.0, r = 8.662058069535188, D = 0.084557997667038, EN0 = None
i = 1.2339999999999973, C = 397.1825179825136, a = 14.092241091865297, m = 199.0, p = 99.0, r = 8.725697679841977, D = 0.08235349753576915, EN0 = None
i = 1.2429999999999972, C = 400.07931106342335, a = 14.143537589009041, m = 199.0, p = 99.0, r = 8.789337290148765, D = 0.0802846682822167, EN0 = None
i = 1.2519999999999971, C = 402.9761041443331, a = 14.194648712531302, m = 199.0, p = 99.0, r = 8.852976900455554, D = 0.07834450210007315, EN0 = None
i = 1.260999999999997, C = 405.87289722524275, a = 14.245576457715615, m = 199.0, p = 99.0, r = 8.916616510762344, D = 0.07652643607634416, EN0 = None
i = 1.269999999999997, C = 408.7696903061525, a = 14.296322784306328, m = 199.0, p = 99.0, r = 8.98025612106913, D = 0.07482432892295339, EN0 = None
i = 1.2789999999999968, C = 411.6664833870622, a = 14.346889617388541, m = 199.0, p = 99.0, r = 9.043895731375919, D = 0.07323243856853635, EN0 = None
i = 1.2879999999999967, C = 414.5632764679719, a = 14.397278848240244, m = 199.0, p = 99.0, r = 9.107535341682707, D = 0.07174540066197825, EN0 = None
i = 1.2969999999999966, C = 417.4600695488816, a = 14.447492335157712, m = 199.0, p = 99.0, r = 9.171174951989498, D = 0.07035820802193676, EN0 = None
i = 1.3059999999999965, C = 420.35686262979135, a = 14.49753190425514, m = 199.0, p = 99.0, r = 9.234814562296286, D = 0.06906619105042362, EN0 = None
i = 1.3149999999999964, C = 423.2536557107011, a = 14.547399350239566, m = 199.0, p = 99.0, r = 9.298454172603073, D = 0.06786499911763103, EN0 = None
i = 1.3239999999999963, C = 426.15044879161076, a = 14.597096437161925, m = 199.0, p = 99.0, r = 9.362093782909863, D = 0.06675058291319029, EN0 = None
i = 1.3329999999999962, C = 429.0472418725205, a = 14.646624899145204, m = 199.0, p = 99.0, r = 9.425733393216651, D = 0.06571917775252362, EN0 = None
i = 1.341999999999996, C = 431.9440349534302, a = 14.695986441090476, m = 199.0, p = 99.0, r = 9.48937300352344, D = 0.06476728781934774, EN0 = None
i = 1.350999999999996, C = 434.84082803433995, a = 14.745182739361692, m = 199.0, p = 99.0, r = 9.553012613830226, D = 0.0638916713202045, EN0 = None
