F = 1e-07; Nimp = 50; Range: [1, 5] EN0 = None
i = 1.0, C = 191.59647920386536, a = 9.787657513518374, m = 99.0, p = 49.0, r = 5.0, D = 0.02477872317198035, EN0 = None
i = 1.004, C = 192.36286512068082, a = 9.80721329228341, m = 99.0, p = 49.0, r = 5.02, D = 0.02407856846910303, EN0 = None
i = 1.008, C = 193.1292510374963, a = 9.826730153960073, m = 99.0, p = 49.0, r = 5.04, D = 0.02340230620435922, EN0 = None
i = 1.012, C = 193.89563695431175, a = 9.84620832996925, m = 99.0, p = 49.0, r = 5.0600000000000005, D = 0.022749071520278514, EN0 = None
i = 1.016, C = 194.6620228711272, a = 9.865648049447314, m = 99.0, p = 49.0, r = 5.08, D = 0.022118031170261246, EN0 = None
i = 1.02, C = 195.42840878794266, a = 9.885049539277551, m = 99.0, p = 49.0, r = 5.1, D = 0.02150838244113739, EN0 = None
i = 1.024, C = 196.19479470475812, a = 9.90441302412107, m = 99.0, p = 49.0, r = 5.12, D = 0.020919352103943537, EN0 = None
i = 1.028, C = 196.9611806215736, a = 9.923738726447144, m = 99.0, p = 49.0, r = 5.14, D = 0.02035019539307468, EN0 = None
i = 1.032, C = 197.72756653838906, a = 9.943026866563045, m = 99.0, p = 49.0, r = 5.16, D = 0.019800195013639978, EN0 = None
i = 1.036, C = 198.49395245520452, a = 9.96227766264333, m = 99.0, p = 49.0, r = 5.18, D = 0.01926866017695246, EN0 = None
i = 1.04, C = 199.26033837202, a = 9.981491330758645, m = 99.0, p = 49.0, r = 5.2, D = 0.018754925663913943, EN0 = None
i = 1.044, C = 200.02672428883545, a = 10.000668084904014, m = 99.0, p = 49.0, r = 5.22, D = 0.01825835091613436, EN0 = None
i = 1.048, C = 200.7931102056509, a = 10.019808137026649, m = 99.0, p = 49.0, r = 5.24, D = 0.017778319154331527, EN0 = None
i = 1.052, C = 201.55949612246636, a = 10.038911697053281, m = 99.0, p = 49.0, r = 5.260000000000001, D = 0.017314236523757524, EN0 = None
i = 1.056, C = 202.32588203928182, a = 10.05797897291702, m = 99.0, p = 49.0, r = 5.279999999999999, D = 0.016865531266235093, EN0 = None
i = 1.06, C = 203.0922679560973, a = 10.077010170583765, m = 99.0, p = 49.0, r = 5.3, D = 0.016431652918315748, EN0 = None
i = 1.064, C = 203.85865387291275, a = 10.09600549407816, m = 99.0, p = 49.0, r = 5.32, D = 0.01601207153517267, EN0 = None
i = 1.068, C = 204.62503978972822, a = 10.114965145509109, m = 99.0, p = 49.0, r = 5.34, D = 0.015606276939647987, EN0 = None
i = 1.072, C = 205.39142570654369, a = 10.133889325094874, m = 99.0, p = 49.0, r = 5.36, D = 0.015213777996012517, EN0 = None
i = 1.076, C = 206.15781162335912, a = 10.152778231187735, m = 99.0, p = 49.0, r = 5.38, D = 0.014834101907835599, EN0 = None
i = 1.08, C = 206.9241975401746, a = 10.171632060298254, m = 99.0, p = 49.0, r = 5.4, D = 0.014466793539516494, EN0 = None
i = 1.084, C = 207.69058345699005, a = 10.190451007119117, m = 99.0, p = 49.0, r = 5.42, D = 0.014111414760773204, EN0 = None
i = 1.088, C = 208.45696937380552, a = 10.209235264548601, m = 99.0, p = 49.0, r = 5.44, D = 0.013767543813666454, EN0 = None
i = 1.092, C = 209.223355290621, a = 10.22798502371364, m = 99.0, p = 49.0, r = 5.460000000000001, D = 0.013434774701490725, EN0 = None
i = 1.096, C = 209.98974120743645, a = 10.246700473992504, m = 99.0, p = 49.0, r = 5.48, D = 0.013112716598975038, EN0 = None
