F = 1e-07; Nimp = 81; Range: [1, 10] EN0 = None
i = 1.0, C = 273.5191071511589, a = 11.694424037787387, m = 161.0, p = 80.0, r = 6.363961030678928, D = 0.1175949894909171, EN0 = None
i = 1.045, C = 285.827466972961, a = 11.954653214814744, m = 161.0, p = 80.0, r = 6.650339277059478, D = 0.09092645561525901, EN0 = None
i = 1.0899999999999999, C = 298.13582679476315, a = 12.209337139967165, m = 161.0, p = 80.0, r = 6.93671752344003, D = 0.07162354249839845, EN0 = None
i = 1.1349999999999998, C = 310.4441866165653, a = 12.458815887085041, m = 161.0, p = 80.0, r = 7.223095769820581, D = 0.05765389223880672, EN0 = None
i = 1.1799999999999997, C = 322.7525464383674, a = 12.703396129349967, m = 161.0, p = 80.0, r = 7.509474016201132, D = 0.047527572238277686, EN0 = None
i = 1.2249999999999996, C = 335.06090626016953, a = 12.9433555591309, m = 161.0, p = 80.0, r = 7.7958522625816835, D = 0.040179553652827625, EN0 = None
i = 1.2699999999999996, C = 347.36926608197166, a = 13.178946583129694, m = 161.0, p = 80.0, r = 8.082230508962235, D = 0.03485992701687615, EN0 = None
i = 1.3149999999999995, C = 359.6776259037738, a = 13.410399432973161, m = 161.0, p = 80.0, r = 8.368608755342786, D = 0.031045696995762238, EN0 = None
i = 1.3599999999999994, C = 371.9859857255759, a = 13.637924800452156, m = 161.0, p = 80.0, r = 8.654987001723338, D = 0.028375083159335096, EN0 = None
i = 1.4049999999999994, C = 384.29434554737804, a = 13.861716083288137, m = 161.0, p = 80.0, r = 8.941365248103889, D = 0.02660067028709257, EN0 = None
i = 1.4499999999999993, C = 396.60270536918017, a = 14.081951309551886, m = 161.0, p = 80.0, r = 9.22774349448444, D = 0.025556915593082638, EN0 = None
i = 1.4949999999999992, C = 408.91106519098236, a = 14.298794795208831, m = 161.0, p = 80.0, r = 9.514121740864992, D = 0.025138081655748178, EN0 = None
i = 1.5399999999999991, C = 421.2194250127845, a = 14.512398578677209, m = 161.0, p = 80.0, r = 9.800499987245542, D = 0.025283567677476977, EN0 = None
i = 1.584999999999999, C = 433.5277848345866, a = 14.722903668002902, m = 161.0, p = 80.0, r = 10.086878233626093, D = 0.02596845180792359, EN0 = None
i = 1.629999999999999, C = 445.83614465638874, a = 14.930441129725349, m = 161.0, p = 80.0, r = 10.373256480006646, D = 0.027197717083043926, EN0 = None
i = 1.674999999999999, C = 458.14450447819087, a = 15.135133043323254, m = 161.0, p = 80.0, r = 10.659634726387196, D = 0.02900310951575361, EN0 = None
i = 1.7199999999999989, C = 470.452864299993, a = 15.337093340982069, m = 161.0, p = 80.0, r = 10.946012972767747, D = 0.031441900041132696, EN0 = None
i = 1.7649999999999988, C = 482.7612241217951, a = 15.536428549087386, m = 161.0, p = 80.0, r = 11.2323912191483, D = 0.034597026876092424, EN0 = None
i = 1.8099999999999987, C = 495.06958394359725, a = 15.733238445145316, m = 161.0, p = 80.0, r = 11.51876946552885, D = 0.03857820941351242, EN0 = None
i = 1.8549999999999986, C = 507.3779437653994, a = 15.927616641629083, m = 161.0, p = 80.0, r = 11.8051477119094, D = 0.04352366913569023, EN0 = None
i = 1.8999999999999986, C = 519.6863035872015, a = 16.119651106447705, m = 161.0, p = 80.0, r = 12.091525958289953, D = 0.04960208120206687, EN0 = None
i = 1.9449999999999985, C = 531.9946634090037, a = 16.30942462824798, m = 161.0, p = 80.0, r = 12.377904204670505, D = 0.057014323073130174, EN0 = None
i = 1.9899999999999984, C = 544.3030232308058, a = 16.497015233532487, m = 161.0, p = 80.0, r = 12.664282451051056, D = 0.06599449441399204, EN0 = None
i = 2.0349999999999984, C = 556.611383052608, a = 16.682496561555286, m = 161.0, p = 80.0, r = 12.950660697431605, D = 0.0768095693404586, EN0 = None
i = 2.0799999999999983, C = 568.9197428744101, a = 16.865938202104413, m = 161.0, p = 80.0, r = 13.237038943812157, D = 0.08975692773760767, EN0 = None
i = 2.1249999999999982, C = 581.2281026962122, a = 17.047406000565193, m = 161.0, p = 80.0, r = 13.52341719019271, D = 0.10515892531004889, EN0 = None
i = 2.169999999999998, C = 593.5364625180143, a = 17.22696233405667, m = 161.0, p = 80.0, r = 13.80979543657326, D = 0.1233536400865531, EN0 = None
i = 2.214999999999998, C = 605.8448223398165, a = 17.40466636192456, m = 161.0, p = 80.0, r = 14.096173682953811, D = 0.14468102206136885, EN0 = None
i = 2.259999999999998, C = 618.1531821616186, a = 17.580574253442613, m = 161.0, p = 80.0, r = 14.382551929334364, D = 0.16946392097179272, EN0 = None
i = 2.304999999999998, C = 630.4615419834207, a = 17.754739395206858, m = 161.0, p = 80.0, r = 14.668930175714916, D = 0.19798391629259873, EN0 = None
i = 2.349999999999998, C = 642.7699018052228, a = 17.927212580393288, m = 161.0, p = 80.0, r = 14.955308422095465, D = 0.23045254341566973, EN0 = None
i = 2.394999999999998, C = 655.078261627025, a = 18.09804218178067, m = 161.0, p = 80.0, r = 15.241686668476015, D = 0.26697938200615917, EN0 = None
i = 2.4399999999999977, C = 667.3866214488271, a = 18.267274310208776, m = 161.0, p = 80.0, r = 15.528064914856568, D = 0.3075394725736518, EN0 = None
i = 2.4849999999999977, C = 679.6949812706292, a = 18.434952959943093, m = 161.0, p = 80.0, r = 15.81444316123712, D = 0.35194351554352055, EN0 = None
i = 2.5299999999999976, C = 692.0033410924314, a = 18.601120142244543, m = 161.0, p = 80.0, r = 16.10082140761767, D = 0.3998150814172978, EN0 = None
i = 2.5749999999999975, C = 704.3117009142335, a = 18.765816008293292, m = 161.0, p = 80.0, r = 16.38719965399822, D = 0.4505793801718847, EN0 = None
i = 2.6199999999999974, C = 716.6200607360356, a = 18.929078962485676, m = 161.0, p = 80.0, r = 16.673577900378774, D = 0.5034677702326993, EN0 = None
i = 2.6649999999999974, C = 728.9284205578377, a = 19.090945767010048, m = 161.0, p = 80.0, r = 16.959956146759325, D = 0.5575409736651803, EN0 = None
i = 2.7099999999999973, C = 741.2367803796399, a = 19.251451638508197, m = 161.0, p = 80.0, r = 17.246334393139875, D = 0.6117318921205379, EN0 = None
i = 2.7549999999999972, C = 753.545140201442, a = 19.41063033754239, m = 161.0, p = 80.0, r = 17.532712639520426, D = 0.6649061769538216, EN0 = None
i = 2.799999999999997, C = 765.8535000232441, a = 19.568514251511843, m = 161.0, p = 80.0, r = 17.819090885900977, D = 0.7159357027759764, EN0 = None
i = 2.844999999999997, C = 778.1618598450463, a = 19.72513447159545, m = 161.0, p = 80.0, r = 18.10546913228153, D = -1.4372722826074002e+42, EN0 = None
