F = 1e-07; Nimp = 3; Range: [0.1, 20.0]
i = 0.1, C = 4.3337757114448605, a = 1.4720352766569251, m = 5.0, p = 2.0, r = 0.1224744871391589, D = 0.6345085418750253
i = 0.299, C = 12.957989377220134, a = 2.5453869428065485, m = 5.0, p = 2.0, r = 0.36619871654608505, D = 0.05342451842958769
i = 0.498, C = 21.582203042995406, a = 3.2849812056536494, m = 5.0, p = 2.0, r = 0.6099229459530112, D = 0.0036039199412722595
i = 0.697, C = 30.20641670877068, a = 3.886284646598257, m = 5.0, p = 2.0, r = 0.8536471753599374, D = 0.0003270043572029994
i = 0.8959999999999999, C = 38.83063037454595, a = 4.406281333196165, m = 5.0, p = 2.0, r = 1.0973714047668635, D = 4.129610035352884e-05
i = 1.095, C = 47.45484404032123, a = 4.871080169752969, m = 5.0, p = 2.0, r = 1.3410956341737899, D = 6.951537235081178e-06
i = 1.294, C = 56.0790577060965, a = 5.29523643032568, m = 5.0, p = 2.0, r = 1.5848198635807162, D = 1.4943488356016226e-06
i = 1.4929999999999999, C = 64.70327137187176, a = 5.687849829763079, m = 5.0, p = 2.0, r = 1.828544092987642, D = 3.9642513634973635e-07
i = 1.692, C = 73.32748503764704, a = 6.055059249819403, m = 5.0, p = 2.0, r = 2.0722683223945686, D = 1.2633068496240973e-07
i = 1.891, C = 81.95169870342231, a = 6.401238110843179, m = 5.0, p = 2.0, r = 2.3159925518014948, D = 4.7328479247797824e-08
i = 2.09, C = 90.57591236919758, a = 6.7296326931414905, m = 5.0, p = 2.0, r = 2.5597167812084205, D = 2.048002663415432e-08
i = 2.2889999999999997, C = 99.20012603497285, a = 7.04273121860308, m = 5.0, p = 2.0, r = 2.8034410106153467, D = 1.0086169372738787e-08
i = 2.488, C = 107.82433970074814, a = 7.342490711630085, m = 5.0, p = 2.0, r = 3.047165240022273, D = 5.582981977441705e-09
i = 2.687, C = 116.4485533665234, a = 7.630483384639645, m = 5.0, p = 2.0, r = 3.2908894694291995, D = 3.436023147376701e-09
i = 2.8859999999999997, C = 125.07276703229867, a = 7.90799491123694, m = 5.0, p = 2.0, r = 3.534613698836125, D = 2.329143323738861e-09
i = 3.085, C = 133.69698069807396, a = 8.176092608883351, m = 5.0, p = 2.0, r = 3.778337928243052, D = 1.7245163867881871e-09
i = 3.284, C = 142.32119436384923, a = 8.435674079877945, m = 5.0, p = 2.0, r = 4.0220621576499775, D = 1.384344210173926e-09
i = 3.4829999999999997, C = 150.94540802962447, a = 8.687502749053508, m = 5.0, p = 2.0, r = 4.265786387056904, D = 1.1968250248814948e-09
i = 3.682, C = 159.56962169539977, a = 8.93223437039691, m = 5.0, p = 2.0, r = 4.50951061646383, D = 1.1076546240005973e-09
i = 3.881, C = 168.19383536117505, a = 9.170437158641214, m = 5.0, p = 2.0, r = 4.7532348458707565, D = 1.0913942372460864e-09
i = 4.079999999999999, C = 176.8180490269503, a = 9.402607325283512, m = 5.0, p = 2.0, r = 4.996959075277682, D = 1.139141437916328e-09
i = 4.278999999999999, C = 185.44226269272554, a = 9.629181239667409, m = 5.0, p = 2.0, r = 5.240683304684608, D = 1.2536766940871545e-09
i = 4.477999999999999, C = 194.0664763585008, a = 9.850545070159844, m = 5.0, p = 2.0, r = 5.484407534091534, D = 1.4485985665667854e-09
i = 4.677, C = 202.6906900242761, a = 10.06704251566159, m = 5.0, p = 2.0, r = 5.728131763498461, D = 1.7504415869801053e-09
i = 4.8759999999999994, C = 211.31490369005138, a = 10.278981070370044, m = 5.0, p = 2.0, r = 5.971855992905386, D = 2.2038372553745064e-09
i = 5.074999999999999, C = 219.93911735582665, a = 10.486637148195475, m = 5.0, p = 2.0, r = 6.215580222312313, D = 2.8810526790331616e-09
i = 5.273999999999999, C = 228.56333102160193, a = 10.690260310712782, m = 5.0, p = 2.0, r = 6.459304451719239, D = 3.898173185396155e-09
i = 5.472999999999999, C = 237.18754468737717, a = 10.890076783186085, m = 5.0, p = 2.0, r = 6.703028681126164, D = 5.4424591586915705e-09
i = 5.671999999999999, C = 245.81175835315244, a = 11.086292399922357, m = 5.0, p = 2.0, r = 6.946752910533091, D = 7.818355858828663e-09
i = 5.8709999999999996, C = 254.43597201892774, a = 11.279095088235753, m = 5.0, p = 2.0, r = 7.190477139940017, D = 1.1525354688581967e-08
i = 6.069999999999999, C = 263.060185684703, a = 11.468656976401007, m = 5.0, p = 2.0, r = 7.434201369346944, D = 1.7390362854179803e-08
i = 6.268999999999999, C = 271.68439935047826, a = 11.65513619290822, m = 5.0, p = 2.0, r = 7.677925598753871, D = 2.679371726511991e-08
i = 6.467999999999999, C = 280.30861301625356, a = 11.838678410537502, m = 5.0, p = 2.0, r = 7.921649828160795, D = 4.2056749305677786e-08
i = 6.666999999999999, C = 288.9328266820288, a = 12.019418178140505, m = 5.0, p = 2.0, r = 8.165374057567721, D = 6.710801344109825e-08
i = 6.865999999999999, C = 297.5570403478041, a = 12.19748007474913, m = 5.0, p = 2.0, r = 8.409098286974649, D = 1.0863061096440035e-07
i = 7.064999999999999, C = 306.18125401357935, a = 12.3729797141509, m = 5.0, p = 2.0, r = 8.652822516381573, D = 1.780387670234835e-07
i = 7.263999999999999, C = 314.80546767935465, a = 12.546024622950384, m = 5.0, p = 2.0, r = 8.896546745788502, D = 2.948804432745147e-07
i = 7.462999999999999, C = 323.4296813451299, a = 12.716715011061817, m = 5.0, p = 2.0, r = 9.140270975195428, D = 4.926828895327308e-07
i = 7.661999999999999, C = 332.0538950109052, a = 12.885144450313803, m = 5.0, p = 2.0, r = 9.383995204602353, D = 8.289613204319761e-07
i = 7.860999999999999, C = 340.67810867668044, a = 13.051400474215027, m = 5.0, p = 2.0, r = 9.627719434009279, D = 1.4022759603564655e-06
i = 8.059999999999999, C = 349.30232234245574, a = 13.215565109794884, m = 5.0, p = 2.0, r = 9.871443663416205, D = 2.3811258174020458e-06
i = 8.258999999999999, C = 357.926536008231, a = 13.37771535069107, m = 5.0, p = 2.0, r = 10.11516789282313, D = 4.052531038108826e-06
i = 8.457999999999998, C = 366.5507496740062, a = 13.53792357922747, m = 5.0, p = 2.0, r = 10.358892122230058, D = 6.902998661245695e-06
i = 8.656999999999998, C = 375.1749633397815, a = 13.696257944047737, m = 5.0, p = 2.0, r = 10.602616351636982, D = 1.1752068897410528e-05
i = 8.855999999999998, C = 383.79917700555677, a = 13.852782698894053, m = 5.0, p = 2.0, r = 10.84634058104391, D = 1.996998682642369e-05
i = 9.055, C = 392.42339067133213, a = 14.007558507308334, m = 5.0, p = 2.0, r = 11.090064810450837, D = 3.382774081514783e-05
i = 9.254, C = 401.0476043371074, a = 14.160642717354099, m = 5.0, p = 2.0, r = 11.333789039857765, D = 5.705147973504018e-05
i = 9.453, C = 409.6718180028827, a = 14.312089609887206, m = 5.0, p = 2.0, r = 11.57751326926469, D = 9.568584754830978e-05
i = 9.652, C = 418.2960316686579, a = 14.46195062342314, m = 5.0, p = 2.0, r = 11.821237498671614, D = 0.00015941312223339725
i = 9.850999999999999, C = 426.92024533443316, a = 14.610274558242107, m = 5.0, p = 2.0, r = 12.064961728078542, D = 0.00026352668018924156
i = 10.049999999999999, C = 435.54445900020846, a = 14.757107762027905, m = 5.0, p = 2.0, r = 12.308685957485467, D = 0.0004318145753905216
i = 10.248999999999999, C = 444.1686726659837, a = 14.90249429904242, m = 5.0, p = 2.0, r = 12.552410186892393, D = 0.000700663118827209
i = 10.447999999999999, C = 452.792886331759, a = 15.046476104586066, m = 5.0, p = 2.0, r = 12.79613441629932, D = 0.0011247249920467509
i = 10.646999999999998, C = 461.41709999753425, a = 15.189093126278708, m = 5.0, p = 2.0, r = 13.039858645706245, D = 0.0017844858652196172
i = 10.845999999999998, C = 470.0413136633095, a = 15.33038345351005, m = 5.0, p = 2.0, r = 13.28358287511317, D = 0.0027959718929037756
i = 11.044999999999998, C = 478.6655273290848, a = 15.470383436248191, m = 5.0, p = 2.0, r = 13.527307104520096, D = 0.00432262441909006
i = 11.243999999999998, C = 487.28974099486004, a = 15.609127794256475, m = 5.0, p = 2.0, r = 13.771031333927024, D = 0.006588984209582682
i = 11.442999999999998, C = 495.91395466063534, a = 15.74664971764844, m = 5.0, p = 2.0, r = 14.01475556333395, D = 0.009895245922272278
i = 11.642, C = 504.53816832641064, a = 15.882980959605955, m = 5.0, p = 2.0, r = 14.258479792740877, D = 0.014630969423933878
i = 11.841, C = 513.1623819921859, a = 16.018151921994402, m = 5.0, p = 2.0, r = 14.502204022147804, D = 0.021285332742976892
i = 12.04, C = 521.7865956579612, a = 16.152191734528806, m = 5.0, p = 2.0, r = 14.74592825155473, D = 0.030450428928320283
i = 12.238999999999999, C = 530.4108093237364, a = 16.28512832807492, m = 5.0, p = 2.0, r = 14.989652480961654, D = 0.042813484352765815
i = 12.437999999999999, C = 539.0350229895117, a = 16.416988502607776, m = 5.0, p = 2.0, r = 15.233376710368582, D = 0.05913382152854698
i = 12.636999999999999, C = 547.659236655287, a = 16.547797990295976, m = 5.0, p = 2.0, r = 15.477100939775507, D = 0.08020123589110816
i = 12.835999999999999, C = 556.2834503210622, a = 16.67758151413241, m = 5.0, p = 2.0, r = 15.720825169182433, D = 0.1067744547867741
i = 13.034999999999998, C = 564.9076639868375, a = 16.80636284248971, m = 5.0, p = 2.0, r = 15.96454939858936, D = 0.13950154500029088
i = 13.233999999999998, C = 573.5318776526128, a = 16.934164839941367, m = 5.0, p = 2.0, r = 16.208273627996284, D = 0.17882825432235827
i = 13.432999999999998, C = 582.156091318388, a = 17.061009514656334, m = 5.0, p = 2.0, r = 16.45199785740321, D = 0.2249046441094953
i = 13.631999999999998, C = 590.7803049841633, a = 17.186918062645255, m = 5.0, p = 2.0, r = 16.69572208681014, D = 0.2775039778690707
i = 13.830999999999998, C = 599.4045186499386, a = 17.311910909110217, m = 5.0, p = 2.0, r = 16.93944631621706, D = 0.3359694994337812
i = 14.029999999999998, C = 608.0287323157138, a = 17.436007747126546, m = 5.0, p = 2.0, r = 17.183170545623987, D = 0.3992034443358583
i = 14.229, C = 616.6529459814892, a = 17.559227573863964, m = 5.0, p = 2.0, r = 17.426894775030917, D = 0.46570789503212906
i = 14.427999999999999, C = 625.2771596472645, a = 17.68158872453582, m = 5.0, p = 2.0, r = 17.670619004437842, D = 0.5336792765090552
i = 14.626999999999999, C = 633.9013733130397, a = 17.803108904248152, m = 5.0, p = 2.0, r = 17.914343233844768, D = 0.6011487078441304
i = 14.825999999999999, C = 642.525586978815, a = 17.92380521790525, m = 5.0, p = 2.0, r = 18.158067463251694, D = 0.6661511462085618
i = 15.024999999999999, C = 651.1498006445903, a = 18.04369419831469, m = 5.0, p = 2.0, r = 18.401791692658623, D = 0.726899603956265
i = 15.223999999999998, C = 659.7740143103655, a = 18.162791832622613, m = 5.0, p = 2.0, r = 18.64551592206555, D = 0.7819385813321521
i = 15.422999999999998, C = 668.3982279761408, a = 18.28111358719896, m = 5.0, p = 2.0, r = 18.88924015147247, D = 0.8302540703683595
i = 15.621999999999998, C = 677.0224416419161, a = 18.398674431082203, m = 5.0, p = 2.0, r = 19.1329643808794, D = 0.9001391485187181
i = 15.820999999999998, C = 685.6466553076913, a = 18.51548885808435, m = 5.0, p = 2.0, r = 19.376688610286326, D = 0.9745554415108676
i = 16.02, C = 694.2708689734667, a = 18.631570907648484, m = 5.0, p = 2.0, r = 19.620412839693252, D = 0.9955306964396898
