F = 1e-07; Nimp = 1000; Range: [0.5, 1.0]
i = 0.7400000000000002, C = 1736.3120591344493, a = 29.46448760062229, m = 1999.0, p = 999.0, r = 16.54690303349845, D = -inf
i = 0.7450000000000002, C = 1748.0438973718442, a = 29.563862208546468, m = 1999.0, p = 999.0, r = 16.658706432373435, D = -inf
i = 0.7500000000000002, C = 1759.7757356092393, a = 29.662903900404284, m = 1999.0, p = 999.0, r = 16.770509831248425, D = -inf
i = 0.7550000000000002, C = 1771.5075738466342, a = 29.761615999863263, m = 1999.0, p = 999.0, r = 16.882313230123415, D = -inf
i = 0.7600000000000002, C = 1783.239412084029, a = 29.860001775653238, m = 1999.0, p = 999.0, r = 16.994116628998405, D = -inf
i = 0.7650000000000002, C = 1794.9712503214241, a = 29.95806444282928, m = 1999.0, p = 999.0, r = 17.105920027873395, D = -inf
i = 0.7700000000000002, C = 1806.703088558819, a = 30.0558071639976, m = 1999.0, p = 999.0, r = 17.217723426748385, D = -inf
i = 0.7750000000000002, C = 1818.4349267962139, a = 30.153233050505662, m = 1999.0, p = 999.0, r = 17.329526825623375, D = -inf
i = 0.7800000000000002, C = 1830.166765033609, a = 30.250345163597796, m = 1999.0, p = 999.0, r = 17.441330224498362, D = -inf
i = 0.7850000000000003, C = 1841.8986032710038, a = 30.347146515537535, m = 1999.0, p = 999.0, r = 17.553133623373352, D = -inf
i = 0.7900000000000003, C = 1853.6304415083987, a = 30.443640070697843, m = 1999.0, p = 999.0, r = 17.664937022248342, D = -inf
i = 0.7950000000000003, C = 1865.3622797457936, a = 30.53982874662032, m = 1999.0, p = 999.0, r = 17.776740421123332, D = -inf
i = 0.8000000000000003, C = 1877.0941179831887, a = 30.635715415044487, m = 1999.0, p = 999.0, r = 17.888543819998322, D = -inf
i = 0.8050000000000003, C = 1888.8259562205835, a = 30.731302902908165, m = 1999.0, p = 999.0, r = 18.000347218873312, D = -inf
i = 0.8100000000000003, C = 1900.5577944579784, a = 30.826593993319943, m = 1999.0, p = 999.0, r = 18.112150617748302, D = -inf
i = 0.8150000000000003, C = 1912.2896326953735, a = 30.921591426504666, m = 1999.0, p = 999.0, r = 18.22395401662329, D = -inf
i = 0.8200000000000003, C = 1924.0214709327684, a = 31.016297900722844, m = 1999.0, p = 999.0, r = 18.33575741549828, D = -inf
i = 0.8250000000000003, C = 1935.7533091701632, a = 31.110716073164912, m = 1999.0, p = 999.0, r = 18.447560814373272, D = -inf
i = 0.8300000000000003, C = 1947.4851474075583, a = 31.20484856082111, m = 1999.0, p = 999.0, r = 18.55936421324826, D = -inf
i = 0.8350000000000003, C = 1959.2169856449532, a = 31.29869794132779, m = 1999.0, p = 999.0, r = 18.67116761212325, D = -inf
i = 0.8400000000000003, C = 1970.948823882348, a = 31.392266753791038, m = 1999.0, p = 999.0, r = 18.78297101099824, D = -inf
i = 0.8450000000000003, C = 1982.680662119743, a = 31.485557499588147, m = 1999.0, p = 999.0, r = 18.89477440987323, D = -inf
i = 0.8500000000000003, C = 1994.412500357138, a = 31.5785726431479, m = 1999.0, p = 999.0, r = 19.006577808748215, D = -inf
