F = 1e-07; Nimp = 4; Range: [1, 10] EN0 = None
i = 8.470000000000006, C = 406.32677806382213, a = 14.253539526444337, m = 7.0, p = 3.0, r = 11.978388873300123, D = 0.0012296511418585605, EN0 = None
i = 8.560000000000006, C = 410.64429990865614, a = 14.329066611413602, m = 7.0, p = 3.0, r = 12.105668093913701, D = 0.001555273344938913, EN0 = None
i = 8.650000000000006, C = 414.96182175349014, a = 14.404197682507174, m = 7.0, p = 3.0, r = 12.23294731452728, D = 0.001961408690482047, EN0 = None
i = 8.740000000000007, C = 419.2793435983242, a = 14.47893890446265, m = 7.0, p = 3.0, r = 12.36022653514086, D = 0.0024660817417522874, EN0 = None
i = 8.830000000000007, C = 423.5968654431582, a = 14.553296283714529, m = 7.0, p = 3.0, r = 12.487505755754439, D = 0.0030907782568561338, EN0 = None
i = 8.920000000000007, C = 427.9143872879922, a = 14.627275674027482, m = 7.0, p = 3.0, r = 12.614784976368018, D = 0.003860946585355201, EN0 = None
i = 9.010000000000007, C = 432.23190913282616, a = 14.700882781874464, m = 7.0, p = 3.0, r = 12.742064196981595, D = 0.004806527393651605, EN0 = None
i = 9.100000000000007, C = 436.54943097766017, a = 14.774123171573672, m = 7.0, p = 3.0, r = 12.869343417595173, D = 0.0059625004815890385, EN0 = None
i = 9.190000000000007, C = 440.86695282249417, a = 14.847002270197411, m = 7.0, p = 3.0, r = 12.996622638208752, D = 0.007369433304864774, EN0 = None
i = 9.280000000000008, C = 445.18447466732823, a = 14.919525372265168, m = 7.0, p = 3.0, r = 13.123901858822332, D = 0.00907401121732783, EN0 = None
i = 9.370000000000008, C = 449.50199651216224, a = 14.991697644232328, m = 7.0, p = 3.0, r = 13.251181079435911, D = 0.011129524536490467, EN0 = None
i = 9.460000000000008, C = 453.81951835699624, a = 15.063524128785339, m = 7.0, p = 3.0, r = 13.37846030004949, D = 0.01359628252578866, EN0 = None
i = 9.550000000000008, C = 458.13704020183025, a = 15.135009748953422, m = 7.0, p = 3.0, r = 13.505739520663068, D = 0.01654191956127438, EN0 = None
i = 9.640000000000008, C = 462.4545620466642, a = 15.20615931204629, m = 7.0, p = 3.0, r = 13.633018741276647, D = 0.020041554465643735, EN0 = None
i = 9.730000000000008, C = 466.7720838914982, a = 15.276977513426832, m = 7.0, p = 3.0, r = 13.760297961890224, D = 0.02417776067264312, EN0 = None
i = 9.820000000000007, C = 471.0896057363322, a = 15.347468940127102, m = 7.0, p = 3.0, r = 13.887577182503803, D = 0.029040303007254537, EN0 = None
i = 9.910000000000007, C = 475.4071275811662, a = 15.417638074315505, m = 7.0, p = 3.0, r = 14.014856403117381, D = 0.03472559694093292, EN0 = None
