F = 1e-07; Nimp = 11; Range: [0.1, 40.0]
i = 0.1, C = 7.51487576389587, a = 1.9384111746345085, m = 21.0, p = 10.0, r = 0.2345207879911715, D = 0.99829674278408
i = 0.499, C = 37.49923006184039, a = 4.330082566293649, m = 21.0, p = 10.0, r = 1.1702587320759457, D = 0.05610449865409033
i = 0.898, C = 67.48358435978491, a = 5.808768559677039, m = 21.0, p = 10.0, r = 2.1059966761607196, D = 0.0006035974522970687
i = 1.2970000000000002, C = 97.46793865772945, a = 6.980971947291059, m = 21.0, p = 10.0, r = 3.041734620245494, D = 2.962612405915877e-05
i = 1.6960000000000002, C = 127.45229295567397, a = 7.982865806077225, m = 21.0, p = 10.0, r = 3.9774725643302684, D = 6.009094421852135e-06
i = 2.095, C = 157.4366472536185, a = 8.872334733699425, m = 21.0, p = 10.0, r = 4.913210508415043, D = 3.5195381896566363e-06
i = 2.494, C = 187.42100155156302, a = 9.68041841945799, m = 21.0, p = 10.0, r = 5.848948452499817, D = 4.4363728543049086e-06
i = 2.8930000000000002, C = 217.40535584950754, a = 10.426057640582743, m = 21.0, p = 10.0, r = 6.784686396584592, D = 9.600603597954133e-06
i = 3.2920000000000003, C = 247.38971014745206, a = 11.121818874344521, m = 21.0, p = 10.0, r = 7.720424340669364, D = 2.9903233665007876e-05
i = 3.6910000000000003, C = 277.3740644453966, a = 11.776545852782908, m = 21.0, p = 10.0, r = 8.656162284754139, D = 0.00011644108472442052
i = 4.09, C = 307.3584187433411, a = 12.396741885337072, m = 21.0, p = 10.0, r = 9.591900228838911, D = 0.0005053498005459379
i = 4.489, C = 337.34277304128557, a = 12.987354870051206, m = 21.0, p = 10.0, r = 10.527638172923686, D = 0.002223138550097834
i = 4.888, C = 367.3271273392301, a = 13.552253084620839, m = 21.0, p = 10.0, r = 11.46337611700846, D = 0.009162539901709735
i = 5.287, C = 397.3114816371746, a = 14.094528754753998, m = 21.0, p = 10.0, r = 12.399114061093234, D = 0.03315874756481789
i = 5.686, C = 427.29583593511916, a = 14.616699968445667, m = 21.0, p = 10.0, r = 13.334852005178009, D = 0.10009192196428474
i = 6.085, C = 457.2801902330637, a = 15.120849682360177, m = 21.0, p = 10.0, r = 14.270589949262783, D = 0.24292291020132442
i = 6.484, C = 487.2645445310082, a = 15.608724235679997, m = 21.0, p = 10.0, r = 15.206327893347558, D = 0.4653292851518359
i = 6.883, C = 517.2488988289527, a = 16.08180491780933, m = 21.0, p = 10.0, r = 16.14206583743233, D = 0.7075285501658735
i = 7.282, C = 547.2332531268972, a = 16.541361085577226, m = 21.0, p = 10.0, r = 17.077803781517105, D = 0.8850287186676719
i = 7.681, C = 577.2176074248417, a = 16.988490330586203, m = 21.0, p = 10.0, r = 18.01354172560188, D = 0.9695437864197024
i = 8.08, C = 607.2019617227863, a = 17.42414935833004, m = 21.0, p = 10.0, r = 18.949279669686653, D = 0.994848123293347
i = 8.479000000000001, C = 637.1863160207308, a = 17.84917807660525, m = 21.0, p = 10.0, r = 19.885017613771428, D = -3672159.480502092
i = 8.878, C = 667.1706703186753, a = 18.26431863386471, m = 21.0, p = 10.0, r = 20.820755557856202, D = -28.012398386605675
i = 9.277, C = 697.1550246166198, a = 18.67023064421835, m = 21.0, p = 10.0, r = 21.756493501940977, D = 0.9999986645081825
