F = 1e-07; Nimp = 10; Range: [5.0, 15.0]
i = 5.0, C = 357.9465433974062, a = 13.378089239450569, m = 19.0, p = 9.0, r = 11.180339887498949, D = 0.005242603135999311
i = 5.1, C = 365.10547426535425, a = 13.511207833967958, m = 19.0, p = 9.0, r = 11.403946685248927, D = 0.007354993945861289
i = 5.199999999999999, C = 372.2644051333024, a = 13.643027617308821, m = 19.0, p = 9.0, r = 11.627553482998906, D = 0.010241564317099279
i = 5.299999999999999, C = 379.42333600125045, a = 13.773585880250112, m = 19.0, p = 9.0, r = 11.851160280748884, D = 0.01414359393678898
i = 5.399999999999999, C = 386.5822668691986, a = 13.902918162551318, m = 19.0, p = 9.0, r = 12.074767078498862, D = 0.01935718180444222
i = 5.499999999999998, C = 393.74119773714665, a = 14.031058365945647, m = 19.0, p = 9.0, r = 12.298373876248839, D = 0.02623683471851124
i = 5.599999999999998, C = 400.9001286050948, a = 14.15803885792617, m = 19.0, p = 9.0, r = 12.521980673998817, D = 0.03519532042393291
i = 5.6999999999999975, C = 408.05905947304285, a = 14.283890567227173, m = 19.0, p = 9.0, r = 12.745587471748795, D = 0.046698127589811886
i = 5.799999999999997, C = 415.217990340991, a = 14.408643071798798, m = 19.0, p = 9.0, r = 12.969194269498773, D = 0.06125088442550656
i = 5.899999999999997, C = 422.37692120893905, a = 14.532324679983912, m = 19.0, p = 9.0, r = 13.192801067248752, D = 0.07937838140510091
i = 5.9999999999999964, C = 429.5358520768872, a = 14.654962505528411, m = 19.0, p = 9.0, r = 13.41640786499873, D = 0.10159449755794332
i = 6.099999999999996, C = 436.69478294483525, a = 14.776582536987963, m = 19.0, p = 9.0, r = 13.640014662748708, D = 0.12836337564576447
i = 6.199999999999996, C = 443.8537138127833, a = 14.897209702034528, m = 19.0, p = 9.0, r = 13.863621460498686, D = 0.1600535865484449
i = 6.299999999999995, C = 451.01264468073146, a = 15.016867927113354, m = 19.0, p = 9.0, r = 14.087228258248665, D = 0.19688862744793814
i = 6.399999999999995, C = 458.1715755486795, a = 15.13558019285484, m = 19.0, p = 9.0, r = 14.310835055998643, D = 0.23889866917120234
i = 6.499999999999995, C = 465.33050641662766, a = 15.253368585604749, m = 19.0, p = 9.0, r = 14.534441853748621, D = 0.28587968059131735
i = 6.599999999999994, C = 472.48943728457573, a = 15.37025434540001, m = 19.0, p = 9.0, r = 14.7580486514986, D = 0.3373665580231465
i = 6.699999999999994, C = 479.64836815252386, a = 15.486257910685264, m = 19.0, p = 9.0, r = 14.981655449248578, D = 0.3926263714624117
i = 6.799999999999994, C = 486.80729902047193, a = 15.601398960036756, m = 19.0, p = 9.0, r = 15.205262246998554, D = 0.45067614744531204
i = 6.899999999999993, C = 493.96622988842006, a = 15.715696451134772, m = 19.0, p = 9.0, r = 15.428869044748533, D = 0.5103268056990049
i = 6.999999999999993, C = 501.12516075636813, a = 15.829168657203198, m = 19.0, p = 9.0, r = 15.65247584249851, D = 0.5702512854160189
i = 7.0999999999999925, C = 508.28409162431626, a = 15.941833201114548, m = 19.0, p = 9.0, r = 15.87608264024849, D = 0.6290711116511938
i = 7.199999999999992, C = 515.4430224922643, a = 16.053707087340673, m = 19.0, p = 9.0, r = 16.099689437998467, D = 0.6854523838205504
i = 7.299999999999992, C = 522.6019533602124, a = 16.164806731913195, m = 19.0, p = 9.0, r = 16.323296235748447, D = 0.7382001268217926
i = 7.3999999999999915, C = 529.7608842281605, a = 16.275147990543136, m = 19.0, p = 9.0, r = 16.546903033498424, D = 0.786339650624281
i = 7.499999999999991, C = 536.9198150961087, a = 16.38474618503608, m = 19.0, p = 9.0, r = 16.770509831248404, D = 0.8291751934821462
i = 7.599999999999991, C = 544.0787459640567, a = 16.493616128127524, m = 19.0, p = 9.0, r = 16.99411662899838, D = 0.8663194376984445
i = 7.69999999999999, C = 551.2376768320048, a = 16.601772146852348, m = 19.0, p = 9.0, r = 17.21772342674836, D = 0.8976918633616519
i = 7.79999999999999, C = 558.3966076999529, a = 16.70922810455278, m = 19.0, p = 9.0, r = 17.441330224498337, D = 0.9234884818042931
i = 7.89999999999999, C = 565.5555385679011, a = 16.815997421620597, m = 19.0, p = 9.0, r = 17.664937022248317, D = 0.944129373480427
i = 7.999999999999989, C = 572.7144694358491, a = 16.922093095061395, m = 19.0, p = 9.0, r = 17.888543819998294, D = 0.9601929401489913
i = 8.099999999999989, C = 579.8734003037972, a = 17.02752771696169, m = 19.0, p = 9.0, r = 18.11215061774827, D = 0.9723465156845882
i = 8.199999999999989, C = 587.0323311717453, a = 17.132313491933093, m = 19.0, p = 9.0, r = 18.33575741549825, D = 0.9812820216738755
i = 8.299999999999988, C = 594.1912620396934, a = 17.236462253602003, m = 19.0, p = 9.0, r = 18.559364213248227, D = 0.9876631180130824
i = 8.399999999999988, C = 601.3501929076415, a = 17.339985480207897, m = 19.0, p = 9.0, r = 18.782971010998207, D = 0.9920874132124243
