F = 1e-07; Nimp = 36; Range: [1, 10] EN0 = None
i = 1.0, C = 152.5656123840752, a = 8.734002873370125, m = 71.0, p = 35.0, r = 4.242640687119285, D = 0.00827544413417078, EN0 = None
i = 1.09, C = 166.29651749864198, a = 9.118566704768957, m = 71.0, p = 35.0, r = 4.624478348960021, D = 0.004340824670774638, EN0 = None
i = 1.1800000000000002, C = 180.02742261320876, a = 9.487555602293163, m = 71.0, p = 35.0, r = 5.006316010800757, D = 0.002526017139634055, EN0 = None
i = 1.2700000000000002, C = 193.75832772777554, a = 9.842721364738908, m = 71.0, p = 35.0, r = 5.388153672641493, D = 0.0016332416006397288, EN0 = None
i = 1.3600000000000003, C = 207.48923284234232, a = 10.185510120812367, m = 71.0, p = 35.0, r = 5.769991334482229, D = 0.0011702300665520854, EN0 = None
i = 1.9900000000000009, C = 303.60556864430976, a = 12.320827258027558, m = 71.0, p = 35.0, r = 8.44285496736738, D = 0.001162910996739454, EN0 = None
i = 2.080000000000001, C = 317.33647375887654, a = 12.596358079994323, m = 71.0, p = 35.0, r = 8.824692629208117, D = 0.0014802009137860094, EN0 = None
i = 2.170000000000001, C = 331.0673788734433, a = 12.865989640782463, m = 71.0, p = 35.0, r = 9.206530291048852, D = 0.0019582809259120434, EN0 = None
i = 2.260000000000001, C = 344.7982839880101, a = 13.130085376493371, m = 71.0, p = 35.0, r = 9.588367952889588, D = 0.002675094814527495, EN0 = None
i = 2.3500000000000014, C = 358.52918910257694, a = 13.388972871407592, m = 71.0, p = 35.0, r = 9.970205614730325, D = 0.003749610152181249, EN0 = None
i = 2.4400000000000013, C = 372.26009421714366, a = 13.642948622221365, m = 71.0, p = 35.0, r = 10.352043276571061, D = 0.005360829929971406, EN0 = None
i = 2.530000000000001, C = 385.99099933171044, a = 13.892282017935543, m = 71.0, p = 35.0, r = 10.733880938411795, D = 0.007773831173492729, EN0 = None
i = 2.6200000000000014, C = 399.7219044462772, a = 14.137218687674695, m = 71.0, p = 35.0, r = 11.115718600252533, D = 0.01137348361897376, EN0 = None
i = 2.7100000000000017, C = 413.45280956084406, a = 14.3779833349612, m = 71.0, p = 35.0, r = 11.497556262093271, D = 0.016704884361888394, EN0 = None
i = 2.8000000000000016, C = 427.1837146754108, a = 14.614782151565086, m = 71.0, p = 35.0, r = 11.879393923934005, D = 0.024516474361783232, EN0 = None
i = 2.8900000000000015, C = 440.9146197899775, a = 14.847804884729216, m = 71.0, p = 35.0, r = 12.261231585774741, D = 0.03579700177880603, EN0 = None
i = 2.9800000000000018, C = 454.64552490454435, a = 15.077226616731346, m = 71.0, p = 35.0, r = 12.643069247615475, D = 0.051791274820318735, EN0 = None
i = 3.070000000000002, C = 468.3764300191112, a = 15.303209304245811, m = 71.0, p = 35.0, r = 13.024906909456213, D = 0.07397343580704256, EN0 = None
i = 3.160000000000002, C = 482.1073351336779, a = 15.525903115981336, m = 71.0, p = 35.0, r = 13.406744571296949, D = 0.10395326540024327, EN0 = None
i = 3.2500000000000018, C = 495.83824024824463, a = 15.745447599992904, m = 71.0, p = 35.0, r = 13.788582233137683, D = 0.14329514245717084, EN0 = None
i = 3.340000000000002, C = 509.56914536281147, a = 15.961972706448465, m = 71.0, p = 35.0, r = 14.170419894978421, D = 0.1932451308183576, EN0 = None
i = 3.4300000000000024, C = 523.3000504773782, a = 16.175599687142643, m = 71.0, p = 35.0, r = 14.552257556819155, D = 0.2543909164152893, EN0 = None
i = 3.5200000000000022, C = 537.030955591945, a = 16.386441889439347, m = 71.0, p = 35.0, r = 14.934095218659891, D = 0.3263174728030689, EN0 = None
i = 3.610000000000002, C = 550.7618607065118, a = 16.594605459403244, m = 71.0, p = 35.0, r = 15.315932880500625, D = 0.40735557545629986, EN0 = None
i = 3.7000000000000024, C = 564.4927658210786, a = 16.80018996650155, m = 71.0, p = 35.0, r = 15.697770542341363, D = 0.4945315449998281, EN0 = None
i = 3.7900000000000027, C = 578.2236709356454, a = 17.00328896031067, m = 71.0, p = 35.0, r = 16.0796082041821, D = 0.5837975146104603, EN0 = None
i = 3.8800000000000026, C = 591.9545760502122, a = 17.203990468060194, m = 71.0, p = 35.0, r = 16.461445866022835, D = 0.670548311990787, EN0 = None
i = 3.9700000000000024, C = 605.6854811647789, a = 17.402377440522013, m = 71.0, p = 35.0, r = 16.843283527863573, D = 0.7503326372978566, EN0 = None
i = 4.060000000000002, C = 619.4163862793456, a = 17.598528152651653, m = 71.0, p = 35.0, r = 17.225121189704307, D = 0.8195820769148484, EN0 = None
i = 4.150000000000003, C = 633.1472913939125, a = 17.792516564470475, m = 71.0, p = 35.0, r = 17.606958851545045, D = 0.8761546487390732, EN0 = None
i = 4.240000000000003, C = 646.8781965084793, a = 17.984412646907312, m = 71.0, p = 35.0, r = 17.988796513385783, D = 0.919541660697143, EN0 = None
