F = 1e-07; Nimp = 8; Range: [0.1, 40.0]
i = 0.1, C = 6.422741251713558, a = 1.7920297502711218, m = 15.0, p = 7.0, r = 0.2, D = 0.9832985231494868
i = 0.17980000000000002, C = 11.548088770580978, a = 2.4029241322377386, m = 15.0, p = 7.0, r = 0.35960000000000003, D = 0.7864887840119865
i = 0.25960000000000005, C = 16.6734362894484, a = 2.887337552958469, m = 15.0, p = 7.0, r = 0.5192000000000001, D = 0.44399044098702645
i = 0.33940000000000003, C = 21.798783808315818, a = 3.301422709099504, m = 15.0, p = 7.0, r = 0.6788000000000001, D = 0.1937348041588714
i = 0.4192, C = 26.924131327183236, a = 3.6690687733526635, m = 15.0, p = 7.0, r = 0.8384, D = 0.0737924738731835
i = 0.499, C = 32.049478846050654, a = 4.003091233412665, m = 15.0, p = 7.0, r = 0.9979999999999999, D = 0.026761757670985736
i = 0.5788000000000001, C = 37.174826364918076, a = 4.311312234396743, m = 15.0, p = 7.0, r = 1.1576000000000002, D = 0.009751523841609376
i = 0.6586000000000001, C = 42.3001738837855, a = 4.598922367456614, m = 15.0, p = 7.0, r = 1.3172000000000001, D = 0.0036821047690517037
i = 0.7384000000000001, C = 47.42552140265291, a = 4.8695750021255915, m = 15.0, p = 7.0, r = 1.4768000000000001, D = 0.001464656222564236
i = 0.8182, C = 52.55086892152033, a = 5.125956931223688, m = 15.0, p = 7.0, r = 1.6364, D = 0.0006185812434369825
i = 0.898, C = 57.67621644038775, a = 5.370112496046416, m = 15.0, p = 7.0, r = 1.796, D = 0.00027817470658598553
i = 0.9778000000000001, C = 62.801563959255176, a = 5.603640065138694, m = 15.0, p = 7.0, r = 1.9556000000000004, D = 0.00013320285853572083
i = 1.0576, C = 67.92691147812259, a = 5.827817407834711, m = 15.0, p = 7.0, r = 2.1152, D = 6.781539597599444e-05
i = 1.1374000000000002, C = 73.05225899699002, a = 6.043685092598308, m = 15.0, p = 7.0, r = 2.2748000000000004, D = 3.662298536102508e-05
i = 1.2172000000000003, C = 78.17760651585745, a = 6.252103906520486, m = 15.0, p = 7.0, r = 2.4344000000000006, D = 2.092250487242337e-05
i = 1.2970000000000002, C = 83.30295403472485, a = 6.453795551252179, m = 15.0, p = 7.0, r = 2.5940000000000003, D = 1.2608673266030002e-05
i = 1.3768000000000002, C = 88.42830155359228, a = 6.649372209223675, m = 15.0, p = 7.0, r = 2.7536000000000005, D = 7.99244233107906e-06
i = 1.4566000000000003, C = 93.5536490724597, a = 6.839358488647152, m = 15.0, p = 7.0, r = 2.913200000000001, D = 5.314142412607176e-06
i = 1.5364000000000002, C = 98.6789965913271, a = 7.024208019105325, m = 15.0, p = 7.0, r = 3.0728, D = 3.696303264373764e-06
i = 1.6162000000000003, C = 103.80434411019453, a = 7.204316210099142, m = 15.0, p = 7.0, r = 3.2324000000000006, D = 2.682725323980076e-06
i = 1.6960000000000002, C = 108.92969162906195, a = 7.380030204174708, m = 15.0, p = 7.0, r = 3.3920000000000003, D = 2.0268037128183818e-06
i = 1.7758000000000003, C = 114.05503914792938, a = 7.5516567436533215, m = 15.0, p = 7.0, r = 3.5516000000000005, D = 1.590324171170691e-06
i = 1.8556000000000004, C = 119.18038666679679, a = 7.719468461843626, m = 15.0, p = 7.0, r = 3.7112000000000007, D = 1.2932030225431428e-06
i = 1.9354000000000002, C = 124.3057341856642, a = 7.8837089680449335, m = 15.0, p = 7.0, r = 3.8708000000000005, D = 1.087620857570038e-06
i = 2.0152, C = 129.4310817045316, a = 8.044596997504959, m = 15.0, p = 7.0, r = 4.0304, D = 9.442599431715441e-07
i = 2.095, C = 134.55642922339905, a = 8.202329828268278, m = 15.0, p = 7.0, r = 4.19, D = 8.447527716959509e-07
i = 2.1748000000000003, C = 139.68177674226646, a = 8.357086117250033, m = 15.0, p = 7.0, r = 4.349600000000001, D = 7.774213270157391e-07
i = 2.2546000000000004, C = 144.8071242611339, a = 8.509028271816174, m = 15.0, p = 7.0, r = 4.509200000000001, D = 7.348141302059691e-07
i = 2.3344000000000005, C = 149.93247178000132, a = 8.658304446599269, m = 15.0, p = 7.0, r = 4.668800000000001, D = 7.122556233268569e-07
i = 2.4142000000000006, C = 155.05781929886874, a = 8.805050235486132, m = 15.0, p = 7.0, r = 4.828400000000001, D = 7.069839555292538e-07
i = 2.494, C = 160.18316681773615, a = 8.949390113793681, m = 15.0, p = 7.0, r = 4.988, D = 7.176433666354252e-07
